9124000000.0000	  -0.3007	  -0.3094	  -0.1533	  -0.8765	  -0.1541	  -0.8751	  -0.1572	   0.3988
9145000000.0000	  -0.3007	  -0.3097	  -0.1588	  -0.8739	  -0.1597	  -0.8754	  -0.1529	   0.4012
9166000000.0000	  -0.3014	  -0.3092	  -0.1642	  -0.8731	  -0.1641	  -0.8738	  -0.1480	   0.4012
9187000000.0000	  -0.3013	  -0.3088	  -0.1687	  -0.8714	  -0.1704	  -0.8755	  -0.1429	   0.4022
9208000000.0000	  -0.3007	  -0.3087	  -0.1743	  -0.8712	  -0.1751	  -0.8721	  -0.1386	   0.4037
9229000000.0000	  -0.3017	  -0.3082	  -0.1795	  -0.8705	  -0.1803	  -0.8692	  -0.1348	   0.4057
9250000000.0000	  -0.3021	  -0.3076	  -0.1842	  -0.8698	  -0.1857	  -0.8679	  -0.1309	   0.4068
9271000000.0000	  -0.3024	  -0.3072	  -0.1903	  -0.8697	  -0.1910	  -0.8690	  -0.1275	   0.4086
9292000000.0000	  -0.3022	  -0.3067	  -0.1956	  -0.8683	  -0.1971	  -0.8683	  -0.1233	   0.4101
9313000000.0000	  -0.3026	  -0.3064	  -0.2010	  -0.8658	  -0.2004	  -0.8655	  -0.1185	   0.4108
9334000000.0000	  -0.3031	  -0.3065	  -0.2056	  -0.8645	  -0.2067	  -0.8641	  -0.1136	   0.4104
9355000000.0000	  -0.3034	  -0.3065	  -0.2094	  -0.8632	  -0.2113	  -0.8641	  -0.1097	   0.4130
9376000000.0000	  -0.3039	  -0.3054	  -0.2153	  -0.8626	  -0.2172	  -0.8638	  -0.1060	   0.4138
9397000000.0000	  -0.3039	  -0.3050	  -0.2217	  -0.8625	  -0.2227	  -0.8617	  -0.1018	   0.4145
9418000000.0000	  -0.3043	  -0.3045	  -0.2261	  -0.8606	  -0.2273	  -0.8594	  -0.0981	   0.4159
9439000000.0000	  -0.3040	  -0.3037	  -0.2320	  -0.8609	  -0.2323	  -0.8588	  -0.0934	   0.4172
