 Data  Fluxo     foF2 
1996_331    36    11.700
1996_332    27    10.700
1996_333   981    11.050
1996_334   910    11.200
1996_335   875    10.200
1996_336   831     9.100
1996_337   780     9.200
1996_338   728     9.200
1996_339   707     9.700
1996_340   696    10.350
1996_341   697     9.450
1996_342   692     8.800
1996_343   686     9.100
1996_344   737      ----
1996_345   724     9.500
1996_346   776    11.950
1996_347   811      ----
1996_348   817    10.250
1996_349   825      ----
1996_350   850      ----
1996_351   862      ----
1996_352   864      ----
1996_353   884      ----
1996_354   874     9.800
1996_355   830      ----
1996_356   837      ----
1996_357   815      ----
1996_358   795      ----
1996_359   790      ----
1996_360   773      ----
1996_361   755      ----
1996_362   746      ----
1996_363   742      ----
1996_364   738      ----
1996_365   725      ----
1996_366   722      ----
1997_001   724      ----
1997_002   721      ----
1997_003   733      ----
1997_004   738      ----
1997_005   744      ----
1997_006   731      ----
1997_007   733      ----
1997_008   738     9.900
1997_009   737     9.700
1997_010   754     9.500
1997_011   740     9.500
1997_012   745     9.900
1997_013   746    10.225
1997_014   749     9.950
1997_015   758     9.450
1997_016   748     9.000
1997_017   741     9.050
1997_018   746     9.250
1997_019   753     9.650
1997_020   768     9.550
1997_021   741     9.400
1997_022   730    10.350
1997_023   734     9.250
1997_024   742    10.500
1997_025   731    10.150
1997_026   741     9.300
1997_027   735     9.850
1997_028   729     9.950
1997_029   746    10.400
1997_030   736     8.900
1997_031   724      ----
1997_032   713      ----
