!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:29:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8428125000,-0.51594847,-0.3275854,-0.13359401,-0.77288729,-0.13536969,-0.77059859,-0.36011851,0.49777862
8430687500,-0.51476556,-0.32749414,-0.13110955,-0.76998436,-0.13536631,-0.76991338,-0.35888767,0.49530965
8433250000,-0.51510316,-0.32732639,-0.13450323,-0.76933366,-0.13580005,-0.77239627,-0.35818487,0.49757239
8435812500,-0.51597154,-0.32705024,-0.13616249,-0.76901883,-0.13668667,-0.77118856,-0.35589439,0.49693781
8438375000,-0.51593196,-0.32650548,-0.13577677,-0.76932842,-0.1392639,-0.77135998,-0.35562724,0.49872178
8440937500,-0.51536077,-0.32719493,-0.13537322,-0.77050894,-0.14069389,-0.7693637,-0.35399657,0.49861282
8443500000,-0.5162428,-0.32719475,-0.13411266,-0.77054852,-0.14149629,-0.7710669,-0.35531834,0.49787894
8446062500,-0.51620644,-0.32721305,-0.13737127,-0.77027404,-0.13972577,-0.77089375,-0.3528432,0.4984698
8448625000,-0.5151208,-0.32747039,-0.13764052,-0.77170622,-0.1387803,-0.7685681,-0.3525728,0.49844852
8451187500,-0.51680535,-0.32816628,-0.14133701,-0.77113992,-0.1407592,-0.77187663,-0.35066095,0.50236851
8453750000,-0.51748526,-0.32788551,-0.13954183,-0.7709859,-0.14151068,-0.77166843,-0.35105798,0.49991593
8456312500,-0.51619601,-0.32819331,-0.13970412,-0.76986754,-0.14099808,-0.77034038,-0.34913588,0.49962157
8458875000,-0.51673895,-0.3282125,-0.13934499,-0.7689358,-0.14284259,-0.77314681,-0.34840599,0.50071925
8461437500,-0.51440078,-0.32978201,-0.14209239,-0.77026594,-0.14126661,-0.77032793,-0.34742907,0.50347072
8464000000,-0.51604497,-0.32849666,-0.13952588,-0.77214116,-0.1445663,-0.77131921,-0.34729794,0.5020287
