!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:33:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8440937500,0.99382448,47.186069,0.00013048564,158.23439,0.00013414843,150.647,0.27161279,-65.047707
8443500000,0.99559742,47.040096,4.5591638e-005,142.46082,0.00010868645,123.26249,0.27240339,-65.10511
8446062500,0.9960385,46.97094,0.00016392551,147.82291,0.00018719095,131.97374,0.27163452,-65.23735
8448625000,0.99497616,46.923901,0.00011285614,144.11227,6.6230663e-005,126.39767,0.27141318,-65.081329
8451187500,0.99692261,46.814556,9.0996284e-005,132.66855,0.0001228636,118.01484,0.27168515,-65.293884
8453750000,0.99620551,46.64109,3.440725e-005,178.3199,5.0922958e-005,59.697247,0.27014941,-65.11776
8456312500,0.99560177,46.501209,7.1298695e-005,158.08919,0.00013664275,148.27443,0.26928288,-64.903786
8458875000,0.99631119,46.429607,0.0001270642,155.73137,9.86663e-005,113.17237,0.26934287,-65.038254
8461437500,0.99561244,46.259003,8.9000532e-005,171.76573,0.00012652689,129.84914,0.27039668,-64.841324
8464000000,0.99470705,46.306381,0.00013204386,129.53551,0.00011914593,150.02853,0.27012718,-64.826126
8466562500,0.99554527,46.179207,0.00014458501,137.76593,0.00014035185,107.36739,0.26990789,-64.694115
8469125000,0.9943077,46.032776,0.00011026736,118.86499,0.00011625346,152.58418,0.27059528,-64.550301
8471687500,0.99665231,45.934361,0.00012841227,-174.15141,0.00014563379,118.7228,0.27102822,-64.492538
8474250000,0.99377137,45.919159,1.5666777e-005,107.74949,0.00012161639,99.105301,0.27134448,-64.30632
8476812500,0.99818039,45.744278,5.3051372e-005,151.49014,0.00013201668,127.5943,0.27213085,-64.322395
8479375000,0.99466854,45.594551,8.3267325e-005,114.27615,5.4181201e-005,-176.99617,0.27271461,-64.538582
8481937500,0.99725771,45.405426,0.00013832185,146.21088,0.00010156063,100.49436,0.27263212,-64.641747
8484500000,0.99473304,45.497616,0.00011505551,156.4317,0.00017655626,129.57288,0.27211979,-64.436325
8487062500,0.99534994,45.237942,8.5860134e-005,124.52956,0.00015931384,104.74412,0.27295092,-64.311234
8489625000,0.99694604,45.095947,7.3088384e-005,108.27289,0.0001045936,152.78928,0.27400777,-64.263733
8492187500,0.99499995,45.211548,8.2154715e-005,115.54698,0.00015568083,170.93781,0.27454063,-64.336617
8494750000,0.9928208,44.90696,8.6953449e-005,119.96265,4.8269845e-005,118.95119,0.27535549,-64.618546
8497312500,0.99656618,44.718468,0.00010077659,160.9937,0.00010312653,80.359917,0.27578354,-64.736626
8499875000,0.99686193,44.568489,8.5589098e-005,146.29326,0.00011434513,137.95024,0.27540094,-64.773018
8502437500,0.99506354,44.435627,0.00016740565,132.06746,0.00014242045,125.62005,0.27627736,-64.912132
8505000000,0.99394554,44.377876,0.00011416448,119.11337,9.0175687e-005,165.43018,0.27673903,-65.094391
8507562500,0.99569947,44.261177,0.00014022991,111.07087,0.00014120156,90.275169,0.27643073,-65.157372
8510125000,0.99362183,44.166103,0.00015814825,122.44041,9.667944e-005,-173.78418,0.27632782,-65.52095
8512687500,0.99278587,44.130367,0.00010607361,131.55017,0.00010010997,129.61104,0.27620026,-65.47821
8515250000,0.99670047,44.011738,9.0125272e-005,64.050842,7.449813e-005,125.04709,0.27657956,-65.917107
8517812500,0.99661356,43.904701,6.3859734e-005,105.84119,9.9028126e-005,94.020485,0.27716884,-66.131111
8520375000,0.99504048,43.650898,5.0468647e-005,135.46736,0.00018998276,124.33897,0.27527019,-66.173859
8522937500,0.99287277,43.68465,0.00018037719,113.43546,0.00017850714,113.29595,0.27440923,-66.358009
8525500000,0.99558806,43.557041,9.2880102e-005,102.99077,0.00011790273,144.29126,0.27397072,-66.151649
8528062500,0.99579185,43.444717,0.00018971648,121.94184,7.6969205e-005,83.059258,0.27469665,-66.06974
8530625000,0.9950847,43.433773,9.1343594e-005,82.942245,0.00014755798,100.42294,0.27352577,-66.159866
8533187500,0.99765116,43.205921,0.00012413679,89.786491,6.6122884e-005,99.161446,0.27425665,-66.392311
8535750000,0.99605012,43.173546,0.00011576209,126.28816,9.9944111e-005,156.11285,0.27399117,-66.665291
8538312500,0.99339241,43.075596,7.1506074e-005,91.685135,0.00014032175,113.70852,0.27490932,-66.588249
8540875000,0.99294382,42.871864,0.00014182007,128.69064,0.0001488768,108.55078,0.27402115,-66.760544
8543437500,0.99320018,42.971828,9.2278053e-005,77.731224,7.9927348e-005,131.20218,0.2740179,-66.8573
8546000000,0.99336267,42.827122,2.093681e-005,92.358459,0.00013236782,136.85649,0.27405027,-66.797401
8548562500,0.99280733,42.55024,0.00010757003,92.060013,8.204583e-005,102.84649,0.27503356,-66.546478
8551125000,0.99174297,42.504047,0.00015110869,103.52317,0.0001116517,70.511002,0.27498171,-66.739029
8553687500,0.99420357,42.562737,7.4351752e-005,74.625908,5.9897997e-005,138.71687,0.27479991,-66.641151
8556250000,0.99549353,42.279629,6.9015201e-005,109.91406,7.7416284e-005,119.40884,0.27482235,-66.644814
8558812500,0.99275982,42.311733,9.4150346e-005,161.10471,6.6739311e-005,116.92206,0.27525926,-66.666908
8561375000,0.99253982,42.082973,5.5585366e-005,108.78111,0.00010133038,69.62854,0.27659237,-66.607681
8563937500,0.99500501,42.024464,8.7087945e-005,105.89923,0.00011073796,99.822205,0.27730897,-66.591866
8566500000,0.99309546,41.81839,0.0001192521,110.67191,5.4476954e-005,133.41193,0.27741823,-66.636932
8569062500,0.99227256,41.800083,8.1819526e-005,65.591614,8.311381e-005,74.472069,0.279338,-66.690918
8571625000,0.99264842,41.742016,0.00011285813,90.701118,7.1290924e-005,100.56594,0.27887133,-66.841843
8574187500,0.99156857,41.619301,4.6720605e-005,98.575294,7.6076714e-005,49.413681,0.27905104,-67.071808
8576750000,0.99087518,41.370407,8.7214008e-005,110.34283,9.962987e-005,88.343918,0.27912915,-67.164185
8579312500,0.99198806,41.366703,2.9287096e-006,11.870459,0.0001036332,69.410324,0.28060472,-67.282288
8581875000,0.9929468,41.322872,0.00018371617,121.81078,0.00015544618,75.110687,0.2801322,-67.278694
8584437500,0.99402964,41.106556,0.00014484326,106.85191,8.1077036e-005,84.724701,0.28088811,-67.439293
8587000000,0.99199963,41.174911,8.4153988e-005,95.555496,1.9504683e-005,159.9364,0.27975702,-67.556427
8589562500,0.99164897,41.173569,7.2025941e-005,62.414173,8.879583e-005,126.26534,0.27897981,-67.822868
8592125000,0.99339551,40.957413,6.6306908e-005,62.908611,0.00011780208,98.499878,0.27925128,-67.809601
8594687500,0.9929502,40.834583,7.7445577e-005,37.970524,0.00012708615,74.275757,0.27908453,-67.733856
8597250000,0.99337679,40.799183,0.00011555693,112.84181,2.597692e-005,35.311142,0.27880391,-67.910637
8599812500,0.99436176,40.673653,9.7318014e-005,125.47005,0.00013385246,137.26485,0.28008687,-67.637825
8602375000,0.99549758,40.569267,9.2153561e-005,92.29097,0.0001223069,110.82635,0.27929214,-68.133484
8604937500,0.99387431,40.530029,6.005053e-005,103.60886,7.3892297e-005,59.780937,0.27848306,-67.95562
8607500000,0.99202323,40.38826,0.00013849705,112.74562,0.00011288191,76.40593,0.27899313,-67.990997
8610062500,0.99377328,40.231133,7.997916e-005,39.649319,8.0438702e-005,108.17505,0.27787128,-67.893845
8612625000,0.99548256,40.106518,1.968005e-005,39.907261,0.00015914222,84.365311,0.27801219,-67.842567
8615187500,0.99273413,39.967251,0.00016024367,71.884995,9.0094472e-005,116.69288,0.27748615,-67.802452
8617750000,0.99303335,40.000126,6.9997332e-005,140.7276,8.2728162e-005,93.775856,0.27764151,-68.017654
8620312500,0.99453771,39.837296,0.00010683304,83.942688,5.8138376e-005,122.83037,0.27695045,-67.954605
