  Q    F1        F2
266    0.3326   0.3326
267    0.3324   0.3324
268    0.3322   0.3322
269    0.3319   0.3319
270    0.3317   0.3317
271    0.3315   0.3315
272    0.3313   0.3313
273    0.3311   0.3311
274    0.3308   0.3308
275    0.3306   0.3306
276    0.3304   0.3304
277    0.3302   0.3302
278    0.3300   0.3300
279    0.3297   0.3297
280    0.3295   0.3295
281    0.3293   0.3293
282    0.3291   0.3291
283    0.3289   0.3289
284    0.3287   0.3287
285    0.3285   0.3285
286    0.3283   0.3283
287    0.3280   0.3280
288    0.3278   0.3278
289    0.3276   0.3276
290    0.3274   0.3274
291    0.3272   0.3272
292    0.3270   0.3270
293    0.3268   0.3268
294    0.3266   0.3266
295    0.3264   0.3264
296    0.3262   0.3262
297    0.3260   0.3260
298    0.3258   0.3258
299    0.3256   0.3256
300    0.3254   0.3254
301    0.3252   0.3252
302    0.3250   0.3250
303    0.3248   0.3248
304    0.3246   0.3246
305    0.3245   0.3245
306    0.3243   0.3243
307    0.3241   0.3241
308    0.3239   0.3239
309    0.3237   0.3237
310    0.3235   0.3235
311    0.3233   0.3233
312    0.3231   0.3231
313    0.3229   0.3229
314    0.3228   0.3228
315    0.3226   0.3226
316    0.3224   0.3224
317    0.3222   0.3222
318    0.3220   0.3220
319    0.3218   0.3218
320    0.3217   0.3217
321    0.3215   0.3215
322    0.3213   0.3213
323    0.3211   0.3211
324    0.3210   0.3210
325    0.3208   0.3208
326    0.3206   0.3206
327    0.3204   0.3204
328    0.3203   0.3203
329    0.3201   0.3201
330    0.3199   0.3199
331    0.3197   0.3197
332    0.3196   0.3196
333    0.3194   0.3194
334    0.3192   0.3192
335    0.3191   0.3191
336    0.3189   0.3189
337    0.3187   0.3187
338    0.3186   0.3186
339    0.3184   0.3184
340    0.3182   0.3182
341    0.3181   0.3181
342    0.3179   0.3179
343    0.3177   0.3177
344    0.3176   0.3176
345    0.3174   0.3174
346    0.3172   0.3172
347    0.3171   0.3171
348    0.3169   0.3169
349    0.3168   0.3168
350    0.3166   0.3166
351    0.3164   0.3164
352    0.3163   0.3163
353    0.3161   0.3161
354    0.3160   0.3160
355    0.3158   0.3158
356    0.3156   0.3156
357    0.3155   0.3155
358    0.3153   0.3153
359    0.3152   0.3152
360    0.3150   0.3150
361    0.3149   0.3149
362    0.3147   0.3147
363    0.3146   0.3146
364    0.3144   0.3144
365    0.3143   0.3143
366    0.3141   0.3141
367    0.3140   0.3140
368    0.3138   0.3138
369    0.3137   0.3137
370    0.3135   0.3135
371    0.3134   0.3134
372    0.3132   0.3132
373    0.3131   0.3131
374    0.3129   0.3129
375    0.3128   0.3128
376    0.3126   0.3126
377    0.3125   0.3125
378    0.3124   0.3124
379    0.3122   0.3122
380    0.3121   0.3121
381    0.3119   0.3119
382    0.3118   0.3118
383    0.3116   0.3116
384    0.3115   0.3115
385    0.3114   0.3114
386    0.3112   0.3112
387    0.3111   0.3111
388    0.3109   0.3109
389    0.3108   0.3108
390    0.3107   0.3107
391    0.3105   0.3105
392    0.3104   0.3104
393    0.3103   0.3103
394    0.3101   0.3101
395    0.3100   0.3100
396    0.3098   0.3098
397    0.3097   0.3097
398    0.3096   0.3096
399    0.3094   0.3094
400    0.3093   0.3093
401    0.3092   0.3092
402    0.3090   0.3090
403    0.3089   0.3089
404    0.3088   0.3088
405    0.3087   0.3087
406    0.3085   0.3085
407    0.3084   0.3084
408    0.3083   0.3083
409    0.3081   0.3081
410    0.3080   0.3080
411    0.3079   0.3079
412    0.3077   0.3077
413    0.3076   0.3076
414    0.3075   0.3075
415    0.3074   0.3074
416    0.3072   0.3072
417    0.3071   0.3071
418    0.3070   0.3070
419    0.3069   0.3069
420    0.3067   0.3067
421    0.3066   0.3066
422    0.3065   0.3065
423    0.3064   0.3064
424    0.3062   0.3062
425    0.3061   0.3061
426    0.3060   0.3060
427    0.3059   0.3059
428    0.3057   0.3057
429    0.3056   0.3056
430    0.3055   0.3055
431    0.3054   0.3054
432    0.3053   0.3053
433    0.3051   0.3051
434    0.3050   0.3050
435    0.3049   0.3049
436    0.3048   0.3048
437    0.3047   0.3047
438    0.3045   0.3045
439    0.3044   0.3044
440    0.3043   0.3043
441    0.3042   0.3042
442    0.3041   0.3041
443    0.3040   0.3040
444    0.3038   0.3038
445    0.3037   0.3037
446    0.3036   0.3036
447    0.3035   0.3035
448    0.3034   0.3034
449    0.3033   0.3033
450    0.3032   0.3032
451    0.3030   0.3030
452    0.3029   0.3029
453    0.3028   0.3028
454    0.3027   0.3027
455    0.3026   0.3026
456    0.3025   0.3025
457    0.3024   0.3024
458    0.3023   0.3023
459    0.3021   0.3021
460    0.3020   0.3020
