HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 221 00  0.00 00   0 00 12.80 00 286 00
 0.07 231 00  0.00 00   0 00 12.70 00 289 00
 0.13 226 00  0.00 00   0 00 12.70 00 294 00
 0.20 236 00  0.00 00   0 00 12.10 00 281 00
 0.27 229 00  0.00 00   0 00 13.00 00 284 00
 0.33 224 00  0.00 00   0 00 12.40 00 279 00
 0.40 226 00  0.00 00   0 00 12.50 00 289 00
 0.47 221 00  0.00 00   0 00 12.70 00 274 00
 0.53 221 00  0.00 00   0 00 13.00 00 266 00
 0.60 216 00  0.00 00   0 00 13.00 00 274 00
 0.67 221 00  0.00 00   0 00 12.80 00 266 00
 0.73 218 00  0.00 00   0 00 12.60 00 269 00
 0.80 213 00  0.00 00   0 00 12.80 00 266 00
 0.87 216 00  0.00 00   0 00 13.00 00 274 00
 0.93 208 00  0.00 00   0 00 12.40 00 266 00
 1.00 206 00  0.00 00   0 00 12.20 00 256 00
 1.07 211 00  0.00 00   0 00 12.50 00 264 00
 1.13 208 00  0.00 00   0 00 12.10 00 256 00
 1.20 206 00  0.00 00   0 00 12.00 00 259 00
 1.27 196 00  0.00 00   0 00 11.70 00 256 00
 1.33 208 00  0.00 00   0 00 11.40 00 256 00
 1.40 203 00  0.00 00   0 00 11.00 00 264 00
 1.47 201 00  0.00 00   0 00 11.00 00 261 00
 1.53 206 00  0.00 00   0 00 10.90 00 269 00
 1.60 208 00  0.00 00   0 00 11.10 00 259 00
 1.67 203 00  0.00 00   0 00 11.00 00 266 00
 1.73 203 00  0.00 00   0 00 10.40 00 254 00
 1.80 206 00  0.00 00   0 00 10.00 00 254 00
 1.87 203 00  0.00 00   0 00  9.81 00 254 00
 1.93 196 00  0.00 00   0 00  9.91 00 251 00
 2.00 203 00  0.00 00   0 00  9.42 00 251 00
 2.07 206 00  0.00 00   0 00  9.09 00 251 00
 2.13 193 00  0.00 00   0 00  9.33 00 264 00
 2.20 208 00  0.00 00   0 00  8.91 00 251 00
 2.27 208 00  0.00 00   0 00  8.69 00 254 00
 2.33 203 00  0.00 00   0 00  0.00  R   0  R
 2.40 206 00  0.00 00   0 00  0.00  R   0  R
 2.47 198 00  0.00 00   0 00  0.00  R   0  R
 2.53 201 00  0.00 00   0 00  0.00  R   0 00
 2.60 206 00  0.00 00   0 00  0.00  R   0  R
 2.67 221 00  0.00 00   0 00  0.00  R   0  R
 2.73 218 00  0.00 00   0 00  0.00  R   0  R
 2.80 229 00  0.00 00   0 00  0.00  R   0  R
 2.87 239 00  0.00 00   0 00  0.00  R   0  R
 2.93 231 00  0.00 00   0 00  0.00  R   0  R
 3.00 224 00  0.00 00   0 00  0.00  R   0  R
 3.07 208 00  0.00 00   0 00  0.00  R   0  R
 3.13 216 00  0.00 00   0 00  0.00  R   0  R
 3.20 221 00  0.00 00   0 00  0.00  R   0  R
 3.27 224 00  0.00 00   0 00  0.00  R   0  R
 3.33 213 00  0.00 00   0 00  0.00  R   0  R
 3.40 224 00  0.00 00   0 00  0.00 00   0 00
 3.47 218 00  0.00 00   0 00  0.00 00   0 00
 3.53 213 00  0.00 00   0 00  0.00 00   0 00
 3.60 216 00  0.00 00   0 00  0.00 00   0 00
 3.67 218 00  0.00 00   0 00  0.00  R   0 00
 3.73 216 00  0.00 00   0 00  0.00  R   0  R
 3.80 208 00  0.00 00   0 00  0.00  R   0  R
 3.87 206 00  0.00 00   0 00  0.00  R   0  R
 3.93 208 00  0.00 00   0 00  0.00  R   0 00
 4.00 206 00  0.00 00   0 00  0.00  R   0  R
 4.07 198 00  0.00 00   0 00  0.00  R   0  R
 4.13 198 00  0.00 00   0 00  0.00  R   0  R
 4.20 203 00  0.00 00   0 00  0.00  R   0  R
 4.27 198 00  0.00 00   0 00  0.00  R   0  R
 4.33 201 00  0.00 00   0 00  0.00  R   0  R
 4.40 206 00  0.00 00   0 00  0.00  R   0  R
 4.47 213 00  0.00 00   0 00  0.00  R   0  R
 4.53 216 00  0.00 00   0 00  0.00  R   0  R
 4.60 213 00  0.00 00   0 00  0.00  R   0  R
 4.67 218 00  0.00 00   0 00  0.00  R   0  R
 4.73 206 00  0.00 00   0 00  0.00  R   0  R
 4.80 221 00  0.00 00   0 00  0.00  R   0  R
 4.87 221 00  0.00 00   0 00  0.00  R   0  R
 4.93 236 00  0.00 00   0 00  0.00  R   0  R
 5.00 224 00  0.00 00   0 00  0.00  R   0  R
 5.07 226 00  0.00 00   0 00  0.00  R   0  R
 5.13 231 00  0.00 00   0 00  0.00  R   0  R
 5.20 229 00  0.00 00   0 00  0.00  R   0  R
 5.27 236 00  0.00 00   0 00  0.00  R   0  R
 5.33 234 00  0.00 00   0 00  0.00  R   0  R
 5.40 226 00  0.00 00   0 00  0.00  R   0  R
 5.47 226 00  0.00 00   0 00  0.00  M   0  M
 5.53 224 00  0.00 00   0 00  0.00  M   0  M
 5.60 226 00  0.00 00   0 00  0.00  M   0 00
 5.67 229 00  0.00 00   0 00  0.00  M   0  M
 5.73 226 00  0.00 00   0 00  0.00  M   0  M
 5.80 229 00  0.00 00   0 00  0.00  R   0  R
 5.87 229 00  0.00 00   0 00  0.00  M   0  M
 5.93 234 00  0.00 00   0 00  0.00  M   0  M
 6.00 224 00  0.00 00   0 00  0.00  M   0  M
 6.07 234 00  0.00 00   0 00  0.00  M   0  M
 6.13 229 00  0.00 00   0 00  0.00  M   0  M
 6.20 234 00  0.00 00   0 00  4.30 00 269 00
 6.27 229 00  0.00 00   0 00  4.30 00 266 00
 6.33 236 00  0.00 00   0 00  4.44 00 269 00
 6.40 234 00  0.00 00   0 00  4.42 00 264 00
 6.47 226 00  0.00 00   0 00  0.00  R   0  R
 6.53 221 00  0.00 00   0 00  4.28 00 259 00
 6.60 229 00  0.00 00   0 00  4.35 00 256 00
 6.67 221 00  0.00 00   0 00  4.30 00 259 00
 6.73 226 00  0.00 00   0 00  4.15 00 259 00
 6.80 224 00  0.00 00   0 00  4.13 00 254 00
 6.87 224 00  0.00 00   0 00  4.01 00 259 00
 6.93 213 00  0.00 00   0 00  4.37 00 269 00
 7.00 224 00  0.00 00   0 00  4.22 00 264 00
 7.07 216 00  0.00 00   0 00  4.33 00 271 00
 7.13 216 00  0.00 00   0 00  4.42 00 266 00
 7.20 216 00  0.00 00   0 00  0.00  M   0  M
 7.27 221 00  0.00 00   0 00  0.00  M   0  M
 7.33 213 00  0.00 00   0 00  0.00  M   0  M
 7.40 211 00  0.00 00   0 00  0.00  M   0  M
 7.47 213 00  0.00 00   0 00  0.00  M   0  M
 7.53 201 00  0.00 00   0 00  0.00  M   0  M
 7.60 208 00  0.00 00   0 00  0.00  M   0  M
 7.67 213 00  0.00 00   0 00  0.00  M   0  M
 7.73 208 00  0.00 00   0 00  0.00  M   0  M
 7.80 211 00  0.00 00   0 00  0.00  M   0 00
 7.87 216 00  0.00 00   0 00  0.00  M   0  M
 7.93 221 00  0.00 00   0 00  0.00  M   0  M
 8.00 211 00  0.00 00   0 00  0.00  M   0  M
 8.07 224 00  0.00 00   0 00  0.00  M   0  M
 8.13 206 00  0.00 00   0 00  0.00  M   0  M
 8.20 218 00  0.00 00   0 00  3.03 00 251 00
 8.27 218 00  0.00 00   0 00  3.12 00 256 00
 8.33 224 00  0.00 00   0 00  3.32 00 259 00
 8.40 218 00  0.00 00   0 00  3.57 00 246 00
 8.47 226 00  0.00 00   0 00  3.83 00 246 00
 8.53 229 00  0.00 00   0 00  4.11 00 251 00
 8.60 229 00  0.00 00   0 00  4.53 00 251 00
 8.67 236 00  0.00 00   0 00  4.60 00 246 00
 8.73 231 00  0.00 00   0 00  4.84 00 241 00
 8.80 239 00  0.00 00   0 00  5.01 00 254 00
 8.87 231 00  0.00 00   0 00  5.30 00 256 00
 8.93 236 00  0.00 00   0 00  5.58 00 256 00
 9.00 234 00  0.00 00   0 00  5.64 00 244 00
 9.07 229 00  0.00 00   0 00  5.78 00 259 00
 9.13 239 00  0.00 00   0 00  5.99 00 261 00
 9.20 244 00  0.00 00   0 00  6.05 00 249 00
 9.27 229 00  0.00 00   0 00  6.11 00 259 00
 9.33 218 00  0.00 00   0 00  6.21 00 264 00
 9.40 226 00  0.00 00   0 00  6.24 00 269 00
 9.47 216 00  0.00 00   0 00  6.37 00 251 00
 9.53 216 00  0.00 00   0 00  6.24 00 251 00
 9.60 213 00  0.00 00   0 00  6.34 00 259 00
 9.67 224 00  0.00 00   0 00  6.27 00 269 00
 9.73 211 00  0.00 00   0 00  6.24 00 256 00
 9.80 218 00  0.00 00   0 00  6.15 00 264 00
 9.87 211 00  0.00 00   0 00  6.15 00 264 00
 9.93 208 00  0.00 00   0 00  6.37 00 284 00
10.00 218 00  0.00 00   0 00  6.37 00 289 00
10.07 213 00  0.00 00   0 00  6.50 00 291 00
10.13 203 00  0.00 00   0 00  6.40 00 289 00
10.20 216 00  0.00 00   0 00  6.60 00 291 00
10.27 213 00  0.00 00   0 00  6.57 00 294 00
10.33 201 00  0.00 00   0 00  6.47 00 291 00
10.40 203 00  0.00 00   0 00  6.67 00 301 00
10.47 201 00  0.00 00   0 00  6.60 00 301 00
10.53 208 00  4.58 00 289 00  6.70 00 316 00
10.60 198 00  4.46 00 284 00  6.63 00 306 00
10.67 208 00  4.53 00 279 00  6.77 00 321 00
10.73 208 00  4.81 00 299 00  6.98 00 341 00
10.80 201 00  4.99 00 309 00  7.09 00 346 00
10.87 203 00  4.99 00 309 00  7.01 00 321 00
10.93 201 00  4.69 00 286 00  7.27 00 351 00
11.00 211 00  4.84 00 321 00  7.34 00 356 00
11.07 198 00  4.77 00 316 00  7.23 00 349 00
11.13 201 00  4.89 00 319 00  7.34 00 354 00
11.20 203 00  4.62 00 304 00  7.69 00 391 00
11.27 208 00  4.44 00 301 00  7.65 00 384 00
11.33 216 00  5.30 00 336 00  7.89 00 401 00
11.40 203 00  5.04 00 346 00  7.85 00 384 00
11.47 203 00  4.94 00 331 00  8.09 00 384 00
11.53 198 00  4.77 00 319 00  8.05 00 374 00
11.60 201 00  4.91 00 329 00  7.89 00 361 00
11.67 206 00  4.79 00 316 00  8.17 00 384 00
11.73 206 00  4.65 00 316 00  8.21 00 384 00
11.80 201 00  4.69 00 311 00  8.17 00 394 00
11.87 201 00  4.72 00 309 00  8.30 00 406 00
