HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 221 00  0.00 00   0 00  0.00  R   0  R
 0.07 246 00  0.00 00   0 00  0.00  R   0  R
 0.13 216 00  0.00 00   0 00  0.00  R   0  R
 0.20 213 00  0.00 00   0 00  0.00  R   0  R
 0.27 221 00  0.00 00   0 00  0.00  R   0  R
 0.33 226 00  0.00 00   0 00  0.00  R   0  R
 0.40 226 00  0.00 00   0 00  0.00  R   0  R
 0.47 218 00  0.00 00   0 00  0.00  R   0  R
 0.53 239 00  0.00 00   0 00  0.00  R   0  R
 0.60 211 00  0.00 00   0 00  0.00  R   0  R
 0.67 218 00  0.00 00   0 00  0.00  R   0  R
 0.73 229 00  0.00 00   0 00  0.00  R   0  R
 0.80 216 00  0.00 00   0 00  0.00  R   0  R
 0.87 208 00  0.00 00   0 00  0.00  R   0 00
 0.93 224 00  0.00 00   0 00  0.00  R   0  R
 1.00 226 00  0.00 00   0 00  0.00  R   0  R
 1.07 221 00  0.00 00   0 00  0.00  R   0  R
 1.13 218 00  0.00 00   0 00  0.00  R   0  R
 1.20 213 00  0.00 00   0 00  0.00  R   0  R
 1.27 213 00  0.00 00   0 00  0.00  R   0  R
 1.33 201 00  0.00 00   0 00  0.00  R   0  R
 1.40 206 00  0.00 00   0 00  0.00  R   0  R
 1.47 206 00  0.00 00   0 00  0.00  R   0  R
 1.53 218 00  0.00 00   0 00  0.00  R   0  R
 1.60 211 00  0.00 00   0 00  0.00  R   0  R
 1.67 224 00  0.00 00   0 00  0.00  R   0  R
 1.73 221 00  0.00 00   0 00  0.00  R   0  R
 1.80 218 00  0.00 00   0 00  0.00  R   0  R
 1.87 218 00  0.00 00   0 00  0.00  R   0  R
 1.93 221 00  0.00 00   0 00  0.00  R   0  R
 2.00 206 00  0.00 00   0 00  0.00  R   0  R
 2.07 226 00  0.00 00   0 00  0.00  R   0  R
 2.13 224 00  0.00 00   0 00  0.00  R   0  R
 2.20 229 00  0.00 00   0 00  0.00  R   0  R
 2.27 234 00  0.00 00   0 00  0.00  R   0  R
 2.33 226 00  0.00 00   0 00  0.00  R   0  R
 2.40 208 00  0.00 00   0 00  0.00  R   0  R
 2.47 229 00  0.00 00   0 00  0.00  R   0  R
 2.53 218 00  0.00 00   0 00  0.00  R   0  R
 2.60 221 00  0.00 00   0 00  0.00  R   0  R
 2.67 211 00  0.00 00   0 00  0.00  R   0  R
 2.73 206 00  0.00 00   0 00  0.00  R   0  R
 2.80 208 00  0.00 00   0 00  0.00  R   0  R
 2.87 203 00  0.00 00   0 00  0.00  R   0  R
 2.93 208 00  0.00 00   0 00  0.00  R   0  R
 3.00 196 00  0.00 00   0 00  0.00  R   0  R
 3.07 203 00  0.00 00   0 00  0.00  R   0  R
 3.13 198 00  0.00 00   0 00  0.00  R   0  R
 3.20 196 00  0.00 00   0 00  0.00  R   0  R
 3.27 193 00  0.00 00   0 00  0.00  R   0  R
 3.33 201 00  0.00 00   0 00  0.00  R   0  R
 3.40 198 00  0.00 00   0 00  0.00  R   0  R
 3.47 198 00  0.00 00   0 00  0.00  R   0  R
 3.53 181 00  0.00 00   0 00  0.00  R   0  R
 3.60 186 00  0.00 00   0 00  0.00  R   0  R
 3.67 188 00  0.00 00   0 00  0.00  R   0  R
 3.73 181 00  0.00 00   0 00  0.00  R   0  R
 3.80 181 00  0.00 00   0 00  0.00  R   0  R
 3.87 188 00  0.00 00   0 00  0.00  R   0  R
 3.93 181 00  0.00 00   0 00  0.00  R   0  R
 4.00 211 00  0.00 00   0 00  0.00  M   0  M
 4.07 229 00  0.00 00   0 00  0.00  M   0  M
 4.13 206 00  0.00 00   0 00  0.00  M   0  M
 4.20 213 00  0.00 00   0 00  0.00  M   0  M
 4.27 229 00  0.00 00   0 00  0.00  M   0  M
 4.33 221 00  0.00 00   0 00  0.00  M   0  M
 4.40 218 00  0.00 00   0 00  0.00  M   0  M
 4.47 224 00  0.00 00   0 00  0.00  M   0  M
 4.53 224 00  0.00 00   0 00  0.00  M   0  M
 4.60 224 00  0.00 00   0 00  0.00  M   0  M
 4.67 236 00  0.00 00   0 00  0.00  M   0  M
 4.73 218 00  0.00 00   0 00  0.00  M   0  M
 4.80 221 00  0.00 00   0 00  0.00  M   0  M
 4.87 226 00  0.00 00   0 00  0.00  M   0  M
 4.93 216 00  0.00 00   0 00  0.00  M   0  M
 5.00 236 00  0.00 00   0 00  0.00  M   0  M
 5.07 251 00  0.00 00   0 00  0.00  M   0  M
 5.13 236 00  0.00 00   0 00  0.00  M   0  M
 5.20 229 00  0.00 00   0 00  0.00  M   0  M
 5.27 224 00  0.00 00   0 00  0.00  M   0  M
 5.33 224 00  0.00 00   0 00  0.00  M   0  M
 5.40 239 00  0.00 00   0 00  0.00  M   0  M
 5.47 226 00  0.00 00   0 00  0.00  M   0  M
 5.53 234 00  0.00 00   0 00  0.00  M   0  M
 5.60 239 00  0.00 00   0 00  0.00  M   0  M
 5.67 234 00  0.00 00   0 00  0.00  M   0  M
 5.73 249 00  0.00 00   0 00  0.00  M   0  M
 5.80 259 00  0.00 00   0 00  0.00  M   0  M
 5.87 246 00  0.00 00   0 00  0.00  M   0  M
 5.93 264 00  0.00 00   0 00  0.00  M   0  M
 6.00 264 00  0.00 00   0 00  0.00  M   0  M
 6.07 261 00  0.00 00   0 00  0.00  M   0  M
 6.13 254 00  0.00 00   0 00  0.00  M   0  M
 6.20 261 00  0.00 00   0 00  0.00  M   0  M
 6.27 259 00  0.00 00   0 00  0.00  M   0  M
 6.33 236 00  0.00 00   0 00  0.00  M   0  M
 6.40 256 00  0.00 00   0 00  0.00  M   0  M
 6.47 244 00  0.00 00   0 00  0.00  M   0  M
 6.53 244 00  0.00 00   0 00  0.00  M   0  M
 6.60 251 00  0.00 00   0 00  0.00  M   0  M
 6.67 241 00  0.00 00   0 00  0.00  M   0  M
 6.73 254 00  0.00 00   0 00  0.00  M   0  M
 6.80 251 00  0.00 00   0 00  0.00  M   0  M
 6.87 246 00  0.00 00   0 00  0.00  M   0  M
 6.93 249 00  0.00 00   0 00  0.00  M   0  M
 7.00 241 00  0.00 00   0 00  0.00  M   0  M
 7.07 244 00  0.00 00   0 00  0.00  M   0  M
 7.13 234 00  0.00 00   0 00  0.00  M   0  M
 7.20 231 00  0.00 00   0 00  0.00  M   0  M
 7.27 236 00  0.00 00   0 00  0.00  M   0  M
 7.33 229 00  0.00 00   0 00  0.00  M   0  M
 7.40 218 00  0.00 00   0 00  0.00  M   0  M
 7.47 231 00  0.00 00   0 00  0.00  M   0  M
 7.53 234 00  0.00 00   0 00  0.00  M   0  M
 7.60 236 00  0.00 00   0 00  0.00  M   0  M
 7.67 231 00  0.00 00   0 00  4.99 00 259 00
 7.73 229 00  0.00 00   0 00  5.01 00 296 00
 7.80 236 00  0.00 00   0 00  5.01 00 286 00
 7.87 244 00  0.00 00   0 00  4.74 00 266 00
 7.93 254 00  0.00 00   0 00  4.84 00 279 00
 8.00 244 00  0.00 00   0 00  4.46 00 289 00
 8.07 244 00  0.00 00   0 00  4.58 00 274 00
 8.13 246 00  0.00 00   0 00  4.62 00 271 00
 8.20 251 00  0.00 00   0 00  5.12 00 309 00
 8.27 256 00  0.00 00   0 00  4.89 00 286 00
 8.33 251 00  0.00 00   0 00  5.22 00 294 00
 8.40 259 00  0.00 00   0 00  4.94 00 301 00
 8.47 259 00  0.00 00   0 00  5.36 00 306 00
 8.53 254 00  0.00 00   0 00  5.69 00 296 00
 8.60 251 00  0.00 00   0 00  5.84 00 309 00
 8.67 244 00  0.00 00   0 00  6.05 00 276 00
 8.73 244 00  0.00 00   0 00  6.18 00 296 00
 8.80 239 00  0.00 00   0 00  6.24 00 286 00
 8.87 236 00  0.00 00   0 00  6.37 00 286 00
 8.93 239 00  0.00 00   0 00  6.87 00 299 00
 9.00 241 00  0.00 00   0 00  7.01 00 286 00
 9.07 239 00  0.00 00   0 00  6.84 00 261 00
 9.13 234 00  0.00 00   0 00  7.05 00 256 00
 9.20 229 00  0.00 00   0 00  7.34 00 264 00
 9.27 224 00  0.00 00   0 00  7.31 00 266 00
 9.33 229 00  0.00 00   0 00  7.81 00 259 00
 9.40 231 00  0.00 00   0 00  8.01 00 259 00
 9.47 224 00  0.00 00   0 00  7.77 00 254 00
 9.53 218 00  0.00 00   0 00  7.65 00 239 00
 9.60 218 00  0.00 00   0 00  7.89 00 249 00
 9.67 213 00  0.00 00   0 00  7.97 00 256 00
 9.73 226 00  0.00 00   0 00  8.01 00 249 00
 9.80 221 00  0.00  L   0  L  7.77 00 254 00
 9.87 208 00  4.15 00 244 00  7.93 00 261 00
 9.93 206 00  4.20 00 249 00  7.97 00 254 00
10.00 206 00  3.93 00 244 00  8.09 00 274 00
10.07 211 00  4.24 00 251 00  8.13 00 244 00
10.13 218 00  4.35 00 249 00  7.97 00 256 00
10.20 198 00  4.37 00 246 00  7.85 00 264 00
10.27 211 00  4.09 00 239 00  8.05 00 259 00
10.33 196 00  4.13 00 249 00  7.42 00 251 00
10.40 203 00  0.00 00   0 00  7.20 00 271 00
10.47 191 00  4.48 00 261 00  7.42 00 291 00
10.53 201 00  4.67 00 269 00  7.49 00 291 00
10.60 191 00  4.11 00 266 00  7.12 00 269 00
10.67 208 00  4.46 00 259 00  6.98 00 281 00
10.73 201 00  4.51 00 276 00  7.12 00 291 00
10.80 201 00  4.55 00 271 00  6.73 00 296 00
