HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 218 00  0.00 00   0 00  0.00  R   0  R
 0.08 216 00  0.00 00   0 00  0.00  R   0  R
 0.17 231 00  0.00 00   0 00  0.00  R   0  R
 0.25 241 00  0.00 00   0 00  0.00  R   0  R
 0.33 241 00  0.00 00   0 00  0.00  R   0  R
 0.42 229 00  0.00 00   0 00  0.00  R   0  R
 0.50 216 00  0.00 00   0 00  0.00  R   0  R
 0.58 216 00  0.00 00   0 00  0.00  R   0  R
 0.67 208 00  0.00 00   0 00  0.00  R   0  R
 0.75 218 00  0.00 00   0 00  0.00  R   0  R
 0.83 224 00  0.00 00   0 00  0.00  R   0  R
 0.92 224 00  0.00 00   0 00  0.00  R   0  R
 1.00 239 00  0.00 00   0 00  0.00  R   0  R
 1.08 226 00  0.00 00   0 00  0.00  R   0  R
 1.17 206 00  0.00 00   0 00  0.00  R   0  R
 1.25 196 00  0.00 00   0 00  0.00  R   0  R
 1.33 206 00  0.00 00   0 00  0.00  R   0  R
 1.42 196 00  0.00 00   0 00  0.00  R   0  R
 1.50 191 00  0.00 00   0 00  0.00  R   0 00
 1.58 213 00  0.00 00   0 00  0.00  R   0  R
 1.67 208 00  0.00 00   0 00  0.00  R   0  R
 1.75 201 00  0.00 00   0 00  0.00  R   0  R
 1.83 206 00  0.00 00   0 00  0.00  R   0  R
 1.92 226 00  0.00 00   0 00  0.00  R   0  R
 2.00 211 00  0.00 00   0 00  6.21 00 261 00
 2.08 216 00  0.00 00   0 00  5.67 00 236 00
 2.17 196 00  0.00 00   0 00  5.52 00 246 00
 2.25 201 00  0.00 00   0 00  5.52 00 244 00
 2.33 193 00  0.00 00   0 00  5.38 00 261 00
 2.42 206 00  0.00 00   0 00  5.09 00 249 00
 2.50 226 00  0.00 00   0 00  0.00  R   0  R
 2.58 231 00  0.00 00   0 00  0.00  R   0  R
 2.67 211 00  0.00 00   0 00  0.00  R   0  R
 2.75 234 00  0.00 00   0 00  0.00  R   0 00
 2.83 221 00  0.00 00   0 00  0.00  R   0  R
 2.92 218 00  0.00 00   0 00  0.00  M   0  M
 3.00 221 00  0.00 00   0 00  0.00  M   0  M
 3.08 224 00  0.00 00   0 00  0.00  M   0  M
 3.17 213 00  0.00 00   0 00  0.00  M   0  M
 3.25 216 00  0.00 00   0 00  0.00  M   0  M
 3.33 211 00  0.00 00   0 00  0.00  M   0  M
 3.42 218 00  0.00 00   0 00  0.00  M   0  M
 3.50 198 00  0.00 00   0 00  0.00  M   0  M
 3.58 208 00  0.00 00   0 00  0.00  M   0  M
 3.67 213 00  0.00 00   0 00  0.00  M   0  M
 3.75 218 00  0.00 00   0 00  0.00  M   0  M
 3.83 206 00  0.00 00   0 00  0.00  M   0  M
 3.92 221 00  0.00 00   0 00  0.00  M   0  M
 4.00 208 00  0.00 00   0 00  0.00  M   0  M
 4.08 208 00  0.00 00   0 00  0.00  M   0  M
 4.17 213 00  0.00 00   0 00  0.00  M   0  M
 4.25 221 00  0.00 00   0 00  0.00  M   0  M
 4.33 218 00  0.00 00   0 00  0.00  M   0  M
 4.42 206 00  0.00 00   0 00  0.00  M   0  M
 4.50 224 00  0.00 00   0 00  0.00  M   0  M
 4.58 213 00  0.00 00   0 00  0.00  M   0  M
 4.67 213 00  0.00 00   0 00  0.00  M   0  M
 4.75 208 00  0.00 00   0 00  0.00  M   0  M
 4.83 226 00  0.00 00   0 00  0.00  M   0  M
 4.92 218 00  0.00 00   0 00  0.00  M   0  M
 5.00 211 00  0.00 00   0 00  0.00  M   0  M
 5.08 218 00  0.00 00   0 00  0.00  M   0  M
 5.17 211 00  0.00 00   0 00  0.00  M   0  M
 5.25 203 00  0.00 00   0 00  0.00  M   0  M
 5.33 201 00  0.00 00   0 00  0.00  M   0  M
 5.42 203 00  0.00 00   0 00  0.00  M   0  M
 5.50 206 00  0.00 00   0 00  0.00  M   0  M
 5.58 198 00  0.00 00   0 00  0.00  M   0  M
 5.67 203 00  0.00 00   0 00  0.00  M   0  M
 5.75 206 00  0.00 00   0 00  0.00  M   0  M
 5.83 208 00  0.00 00   0 00  0.00  M   0  M
 5.92 206 00  0.00 00   0 00  0.00  M   0  M
 6.00 221 00  0.00 00   0 00  0.00  M   0  M
 6.08 203 00  0.00 00   0 00  0.00  M   0  M
 6.17 221 00  0.00 00   0 00  0.00  M   0  M
 6.25 246 00  0.00 00   0 00  0.00  M   0  M
 6.33 213 00  0.00 00   0 00  0.00  M   0  M
 6.42 218 00  0.00 00   0 00  0.00  M   0  M
 6.50 218 00  0.00 00   0 00  0.00  M   0  M
 6.58 241 00  0.00 00   0 00  0.00  M   0  M
 6.67   0  C  0.00 00   0 00  0.00 00   0 00
 6.75   0 00  0.00 00   0 00  0.00 00   0 00
 6.83   0 00  0.00 00   0 00  0.00 00   0 00
 6.92   0 00  0.00 00   0 00  0.00 00   0 00
 7.00   0 00  0.00 00   0 00  0.00 00   0 00
 7.08 208 00  0.00 00   0 00  0.00 00   0 00
 7.17 198 00  0.00 00   0 00  0.00 00   0 00
