HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 246 00  0.00 00   0 00  8.77 00 299 00
 0.08 236 00  0.00 00   0 00  9.09 00 291 00
 0.17 231 00  0.00 00   0 00  9.33 00 286 00
 0.25 244 00  0.00 00   0 00  9.81 00 299 00
 0.33 234 00  0.00 00   0 00  9.42 00 294 00
 0.42 231 00  0.00 00   0 00  9.37 00 276 00
 0.50 236 00  0.00 00   0 00  9.52 00 266 00
 0.58 234 00  0.00 00   0 00  9.66 00 266 00
 0.67 218 00  0.00 00   0 00  9.62 00 276 00
 0.75 229 00  0.00 00   0 00  9.42 00 271 00
 0.83 221 00  0.00 00   0 00  9.09 00 266 00
 0.92 213 00  0.00 00   0 00  9.18 00 264 00
 1.00 208 00  0.00 00   0 00  9.09 00 264 00
 1.08 211 00  0.00 00   0 00  9.00 00 279 00
 1.17 211 00  0.00 00   0 00  9.33 00 241 00
 1.25 216 00  0.00 00   0 00  9.62 00 251 00
 1.33 224 00  0.00 00   0 00  0.00  R   0  R
 1.42 229 00  0.00 00   0 00  0.00  R   0  R
 1.50 239 00  0.00 00   0 00  0.00  R   0  R
 1.58 236 00  0.00 00   0 00  0.00  R   0  R
 1.67 234 00  0.00 00   0 00  0.00  R   0  R
 1.75 249 UR  0.00 00   0 00  0.00  R   0  R
 1.83 259 00  0.00 00   0 00  0.00  R   0  R
 1.92 213 UR  0.00 00   0 00  0.00  R   0  R
 2.00 218 00  0.00 00   0 00  0.00  R   0  R
 2.08 208 00  0.00 00   0 00  0.00  R   0  R
 2.17 234 00  0.00 00   0 00  0.00  R   0  R
 2.25 234 00  0.00 00   0 00  0.00  R   0  R
 2.33 236 00  0.00 00   0 00  0.00  R   0  R
 2.42 229 00  0.00 00   0 00  0.00  R   0  R
 2.50 251 00  0.00 00   0 00  0.00  R   0  R
 2.58 256 00  0.00 00   0 00  0.00  R   0  R
 2.67 249 00  0.00 00   0 00  0.00  R   0  R
 2.75 244 00  0.00 00   0 00  0.00  R   0  R
 2.83 241 00  0.00 00   0 00  0.00  R   0  R
 2.92 239 00  0.00 00   0 00  0.00  R   0  R
 3.00 251 00  0.00 00   0 00  0.00  R   0  R
 3.08 244 00  0.00 00   0 00  0.00  R   0  R
 3.17 241 00  0.00 00   0 00  0.00  R   0  R
 3.25 244 00  0.00 00   0 00  0.00  R   0  R
 3.33 244 00  0.00 00   0 00  0.00  R   0  R
 3.42 239 00  0.00 00   0 00  0.00  R   0  R
 3.50 229 00  0.00 00   0 00  0.00  R   0  R
 3.58 236 00  0.00 00   0 00  0.00  R   0  R
 3.67 246 00  0.00 00   0 00  0.00  R   0  R
 3.75 246 00  0.00 00   0 00  0.00  M   0  M
 3.83 241 00  0.00 00   0 00  0.00  M   0  M
 3.92 244 00  0.00 00   0 00  0.00  M   0  M
 4.00 251 00  0.00 00   0 00  0.00  M   0  M
 4.08 241 00  0.00 00   0 00  0.00  M   0  M
 4.17 249 00  0.00 00   0 00  0.00  M   0  M
 4.25 241 00  0.00 00   0 00  0.00  M   0  M
 4.33 239 00  0.00 00   0 00  0.00  M   0  M
 4.42 236 00  0.00 00   0 00  0.00  M   0  M
 4.50 234 00  0.00 00   0 00  0.00  M   0  M
 4.58 234 00  0.00 00   0 00  0.00  M   0  M
 4.67 246 00  0.00 00   0 00  0.00  M   0  M
 4.75 234 00  0.00 00   0 00  0.00  M   0  M
 4.83 236 00  0.00 00   0 00  0.00  M   0  M
 4.92 229 00  0.00 00   0 00  0.00  M   0  M
 5.00 241 00  0.00 00   0 00  0.00  M   0  M
 5.08 244 00  0.00 00   0 00  0.00  M   0  M
 5.17 229 00  0.00 00   0 00  0.00  M   0  M
 5.25 246 00  0.00 00   0 00  0.00  M   0  M
 5.33 246 00  0.00 00   0 00  0.00  M   0  M
 5.42 244 00  0.00 00   0 00  0.00  M   0  M
 5.50 239 00  0.00 00   0 00  0.00  M   0  M
 5.58 234 00  0.00 00   0 00  0.00  M   0  M
 5.67 244 00  0.00 00   0 00  0.00  M   0  M
 5.75 236 00  0.00 00   0 00  0.00  M   0  M
 5.83 231 00  0.00 00   0 00  0.00  M   0  M
 5.92 236 00  0.00 00   0 00  5.50 00 279 00
 6.00 224 00  0.00 00   0 00  5.41 00 261 00
 6.08 224 00  0.00 00   0 00  5.50 00 254 00
 6.17 218 00  0.00 00   0 00  5.28 00 244 00
 6.25 213 00  0.00 00   0 00  5.25 00 254 00
 6.33 211 00  0.00 00   0 00  5.17 00 249 00
 6.42 211 00  0.00 00   0 00  4.60 00 239 00
 6.50 201 00  0.00 00   0 00  4.58 00 239 00
 6.58 201 00  0.00 00   0 00  4.28 00 229 00
 6.67 198 00  0.00 00   0 00  3.95 00 221 00
 6.75 196 00  0.00 00   0 00  3.64 00 213 00
 6.83 201 00  0.00 00   0 00  3.75 00 216 UR
 6.92 206 00  0.00 00   0 00  3.49 00 229 00
 7.00 213 00  0.00 00   0 00  3.24 00 244 00
 7.08 213 00  0.00 00   0 00  3.06 00 254 00
 7.17 236 00  0.00 00   0 00  2.98 00 251 00
 7.25 229 00  0.00 00   0 00  3.05 00 241 00
 7.33 216 00  0.00 00   0 00  2.88 00 241 00
 7.42 213 00  0.00 00   0 00  2.82 00 234 00
 7.50 221 00  0.00 00   0 00  2.63 00 226 00
 7.58 211 00  0.00 00   0 00  2.58 00 226 00
 7.67 213 00  0.00 00   0 00  2.45 00 231 00
 7.75 203 00  0.00 00   0 00  2.30 00 229 00
 7.83 234 00  0.00 00   0 00  2.23 00 264 00
 7.92 241 00  0.00 00   0 00  2.47 00 316 00
 8.00 251 00  0.00 00   0 00  2.70 00 301 00
 8.08 254 00  0.00 00   0 00  2.79 00 276 00
 8.17 251 00  0.00 00   0 00  3.09 00 281 00
 8.25 241 00  0.00 00   0 00  3.19 00 286 00
 8.33 241 00  0.00 00   0 00  3.37 00 269 00
 8.42 249 00  0.00 00   0 00  3.66 00 269 00
 8.50 221 00  0.00 00   0 00  3.70 00 256 00
 8.58 241 00  0.00 00   0 00  4.01 00 274 00
 8.67 239 00  0.00 00   0 00  4.15 00 276 00
 8.75 231 00  0.00 00   0 00  4.58 00 281 00
 8.83 236 00  0.00 00   0 00  4.51 00 271 00
 8.92 229 00  0.00 00   0 00  4.65 00 284 00
 9.00 213 00  0.00 00   0 00  4.79 00 286 00
 9.08 229 00  0.00 00   0 00  5.07 00 279 00
 9.17 213 00  0.00 00   0 00  5.17 00 276 00
 9.25 196 00  0.00 00   0 00  5.30 00 281 00
 9.33 203 00  0.00  L   0  L  5.33 00 299 00
 9.42 183 00  0.00  L   0  L  5.50 00 294 00
 9.50 201 00  0.00  L   0  L  5.58 00 296 00
 9.58 201 00  0.00  L   0  L  5.55 00 294 00
 9.67 198 00  0.00  L   0  L  5.41 00 286 00
 9.75 208 00  0.00  L   0  L  5.36 00 306 00
 9.83 188 00  0.00  L   0  L  5.47 00 314 00
 9.92 183 00  0.00  L   0  L  5.28 00 314 00
10.00 176 00  0.00  L   0  L  5.33 00 346 00
10.08 201 00  0.00  L   0 00  5.41 00 361 00
10.17 181 00  0.00  L   0  L  5.47 00 374 00
10.25 181 00  0.00  L   0  L  5.58 00 374 00
10.33 218 00  0.00  L   0  L  5.44 00 371 00
10.42 224 00  0.00  L   0  L  5.44 00 371 00
10.50 218 00  0.00  L   0  L  5.41 00 374 00
10.58 196 00  4.77 00 391 00  5.41 00 391 00
10.67 191 00  4.69 00 394 00  5.50 00 401 00
10.75 201 00  4.60 00 399 00  5.38 00 386 00
10.83 208 00  4.74 00 404 00  5.47 00 396 00
10.92 206 00  4.79 00 421 00  5.52 00 421 00
11.00 203 00  4.67 00 424 00  5.50 00 429 00
11.08 236 00  0.00  L   0  L  5.55 00 464 00
11.17 191 00  0.00  L   0  L  5.44 00 514 00
11.25 201 00  0.00  L   0  L  5.50 00 527 00
11.33 186 00  0.00  L   0  L  5.44 00 634 00
11.42 203 00  4.35 00 627 00  5.61 00 634 00
11.50 198 00  4.35 00 622 00  5.58 00 644 00
11.58 201 00  4.44 00 619 00  5.69 00 639 00
11.67 188 00  4.30 00 584 00  5.72 00 639 00
11.75 193 00  4.26 00 587 00  5.72 00 629 00
11.83 183 00  4.28 00 549 00  5.84 00 627 00
11.92 211 00  4.20 00 544 00  6.08 00 654 00
12.00 221 00  4.24 00 529 00  6.27 00 639 00
12.08 216 00  4.11 00 542 00  6.30 00 632 00
12.17 218 00  4.35 00 542 00  6.60 00 607 00
12.25 211 UC  4.51 00 544 00  6.34 00 624 00
12.33 183 00  4.46 00 532 00  6.53 00 614 00
12.42   0  C  4.51 00 512 00  6.70 00 607 00
12.50 249 UC  4.33 00 519 00  6.50 00 607 00
12.58 206 00  4.39 00 514 00  6.34 00 597 00
12.67 221 00  4.39 00 529 00  6.77 00 569 00
12.75 224 00  4.48 00 514 00  6.77 00 559 00
12.83 234 00  4.44 00 524 00  6.87 00 567 00
12.92 201 00  4.53 00 537 00  6.84 00 569 00
13.00 221 00  4.39 00 542 00  6.98 00 552 00
13.08 203 00  4.65 00 534 00  7.20 00 529 00
13.17 211 00  4.86 00 534 00  6.98 00 542 00
13.25 218 UC  4.60 00 532 00  7.01 00 542 00
13.33 218 00  4.74 00 539 00  7.01 00 534 00
13.42 203 00  4.62 00 544 00  6.98 00 542 00
13.50   0  C  4.74 00 539 00  7.31 00 539 00
13.58 226 00  4.79 00 534 00  7.34 00 524 00
13.67 218 00  4.65 00 534 00  6.98 00 554 00
13.75 226 00  4.79 00 544 00  7.20 00 544 00
13.83 198 00  4.44 00 542 00  7.23 00 554 00
13.92 196 00  4.69 00 524 00  7.42 00 552 00
14.00 231 UC  4.55 00 499 00  7.61 00 552 00
14.08 193 00  4.91 00 509 00  7.46 00 537 00
14.17 208 00  4.67 00 494 00  7.31 00 539 00
14.25 206 00  4.62 00 487 00  7.38 00 539 00
14.33 196 00  4.55 00 479 00  7.31 00 534 00
14.42 186 00  4.72 00 467 00  7.65 00 537 00
14.50 191 00  4.72 00 449 00  7.38 00 544 00
14.58 188 00  4.48 00 454 00  7.53 00 529 00
14.67 186 00  4.69 00 449 00  7.57 00 529 00
14.75 188 00  4.44 00 439 00  7.65 00 524 00
14.83 181 00  4.91 00 421 00  7.81 00 532 00
14.92 181 00  4.55 00 424 00  7.57 00 527 00
15.00 186 00  4.79 00 449 00  7.81 00 524 00
15.08 186 00  4.60 00 434 00  7.61 00 537 00
15.17 191 00  4.46 00 457 00  8.17 00 522 00
15.25 208 00  4.72 00 477 00  7.73 00 519 00
15.33 173 00  4.72 00 477 00  7.61 00 527 00
15.42 183 00  4.44 00 472 00  7.53 00 522 00
15.50 181 00  4.53 00 492 00  7.89 00 522 00
15.58 163 00  4.62 00 492 00  7.69 00 547 00
15.67 178 00  4.62 00 502 00  7.97 00 512 00
15.75 181 00  4.51 00 497 00  7.89 00 522 00
15.83 188 00  4.60 00 512 00  8.05 00 507 00
15.92 173 00  4.67 00 494 00  8.17 00 497 00
16.00 203 UC  4.67 00 492 00  8.21 00 502 00
16.08 178 00  4.62 00 489 00  8.47 00 494 00
16.17 178 00  4.39 00 494 00  8.47 00 494 00
16.25 173 00  4.51 00 487 00  8.38 00 499 00
16.33 188 00  4.62 00 492 00  8.34 00 502 00
16.42 244 UC  4.48 00 489 00  8.51 00 499 00
16.50 213 00  4.48 00 487 00  8.34 00 492 00
16.58 178 00  4.48 00 474 00  8.17 00 487 00
16.67 196 00  4.42 00 464 00  8.60 00 489 00
16.75 203 00  4.35 00 449 00  8.69 00 474 00
16.83   0  C  4.58 00 434 00  8.60 00 489 00
16.92   0  C  4.62 00 421 00  8.34 00 472 00
17.00   0  C  4.35 00 421 00  8.91 00 499 00
17.08   0  C  4.53 00 404 00  9.05 00 487 00
17.17 208 00  4.65 00 399 00  8.82 00 464 00
17.25 208 00  4.55 00 396 00  8.82 00 472 00
17.33 206 00  4.42 00 371 00  8.82 00 449 00
17.42 186 00  4.44 00 374 00  8.73 00 447 00
17.50   0  C  4.44 00 354 00  8.51 00 431 00
17.58   0  A  0.00  A 379 00  9.33 00 444 00
17.67   0  A  0.00  A 341 00  8.60 00 399 00
17.75   0  A  0.00  A 339 00  8.86 00 411 00
17.83 171 00  4.26 00 324 00  8.73 00 394 00
17.92 183 00  4.58 00 324 00  8.82 00 389 00
18.00 181 00  4.22 00 309 00  9.18 00 419 00
18.08 183 00  4.39 00 304 00  9.05 00 419 00
18.17 173 00  4.09 00 296 00  8.95 00 424 00
18.25 183 00  4.13 00 301 00  8.91 00 429 00
18.33 208 00  4.24 00 314 00  9.00 00 431 00
18.42 181 00  5.52 00 341 00  8.86 00 434 00
18.50 201 00  0.00  L   0  L  8.82 00 416 00
18.58 224 00  4.69 00 359 00  8.86 00 414 00
18.67 213 00  4.51 00 351 00  8.91 00 406 00
18.75 221 00  4.30 00 329 00  9.14 00 411 00
18.83 203 00  4.62 00 356 00  8.91 00 371 00
18.92 203 00  4.55 00 361 00  9.23 00 394 00
19.00 224 00  4.33 00 339 00  9.52 00 389 00
19.08 244 00  4.60 00 324 00  9.23 00 374 00
19.17 231 00  4.33 00 329 00  9.09 00 364 00
19.25 226 00  3.91 00 294 00  9.47 00 376 00
19.33 221 00  4.28 00 294 00  9.09 00 374 00
19.42 234 00  4.51 00 301 00  9.62 00 389 00
19.50 226 00  4.22 00 291 00  9.09 00 349 00
19.58 226 00  3.99 00 289 00  9.14 00 384 00
19.67 241 00  0.00  L   0  L  9.18 00 359 00
19.75 239 00  4.28 00 301 00  9.66 00 374 00
19.83 234 00  4.37 00 294 00  8.91 00 346 00
19.92 251 00  4.05 00 269 00  9.37 00 349 00
20.00 241 00  0.00  L   0  L  9.23 00 339 00
20.08 256 00  0.00  L   0  L  9.42 00 331 00
20.17 239 00  0.00  L   0  L  9.91 00 346 00
20.25 239 00  0.00  L   0  L 10.00 00 331 00
20.33 241 00  0.00  L   0  L 10.60 00 319 00
20.42 246 00  0.00  L   0  L 10.40 00 306 00
20.50 239 00  0.00  L   0  L 10.30 00 294 00
20.58 234 00  0.00  L   0  L 10.30 00 284 00
20.67 229 00  0.00  L   0  L  9.91 00 286 00
20.75 224 00  0.00  L   0  L 10.40 00 299 00
20.83 229 00  0.00  L   0  L 10.20 00 274 00
20.92 224 00  0.00  L   0  L  9.91 00 269 00
21.08 218 00  0.00 00   0 00  9.37 00 274 00
21.17 208 00  0.00 00   0 00  9.33 00 261 00
21.25 208 00  0.00 00   0 00  9.28 00 266 00
21.33 213 00  0.00 00   0 00  9.05 00 306 00
21.42 231 00  0.00 00   0 00  9.14 00 261 00
21.50 216 00  0.00 00   0 00  9.14 00 296 00
21.58 224 00  0.00 00   0 00  8.64 00 286 00
21.67 211 00  0.00 00   0 00  8.38 00 294 00
21.75 206 00  0.00 00   0 00  8.13 00 299 00
21.83 213 00  0.00 00   0 00  7.93 00 314 00
21.92 244 00  0.00 00   0 00  7.69 00 304 00
22.00 234 00  0.00 00   0 00  7.49 00 289 00
22.08 239 00  0.00 00   0 00  7.81 00 324 00
22.17 224 00  0.00 00   0 00  7.57 00 321 00
22.25 236 00  0.00 00   0 00  7.65 00 321 00
22.33 241 00  0.00 00   0 00  7.42 00 324 00
22.42 234 00  0.00 00   0 00  7.69 00 314 00
22.50 261 00  0.00 00   0 00  7.57 00 314 00
22.58 256 00  0.00 00   0 00  7.77 00 336 00
22.67 246 00  0.00 00   0 00  7.49 00 319 00
22.75 264 00  0.00 00   0 00  7.85 00 351 00
22.83 266 00  0.00 00   0 00  7.77 00 336 00
22.92 291 00  0.00 00   0 00  7.85 00 344 00
23.00 279 00  0.00 00   0 00  7.65 00 329 00
23.08 271 00  0.00 00   0 00  8.21 00 354 00
23.17 281 00  0.00 00   0 00  8.01 00 339 00
23.25 259 00  0.00 00   0 00  7.69 00 341 00
23.33 279 00  0.00 00   0 00  8.34 00 384 00
23.42 274 00  0.00 00   0 00  8.05 00 339 00
23.50 281 00  0.00 00   0 00  8.60 00 336 00
23.58 266 00  0.00 00   0 00  8.91 00 341 00
23.67 261 00  0.00 00   0 00  9.00 00 351 00
23.75 266 00  0.00 00   0 00  9.28 00 344 00
23.83 254 00  0.00 00   0 00  9.47 00 331 00
23.92 259 00  0.00 00   0 00  9.18 00 319 00
