HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 246 00  0.00 00   0 00 12.00 00 334 00
 0.07 231 00  0.00 00   0 00 12.00 00 324 00
 0.13 226 00  0.00 00   0 00 11.60 00 316 00
 0.20 226 00  0.00 00   0 00 11.20 00 316 00
 0.27 231 00  0.00 00   0 00 11.50 00 326 00
 0.33 229 00  0.00 00   0 00 11.10 00 321 00
 0.40 226 00  0.00 00   0 00 11.50 00 326 00
 0.47 231 00  0.00 00   0 00 11.50 00 334 00
 0.53 231 00  0.00 00   0 00 11.30 00 321 00
 0.60 236 00  0.00 00   0 00 11.00 00 321 00
 0.67 239 00  0.00 00   0 00 11.40 00 331 00
 0.73 241 00  0.00 00   0 00 11.00 00 321 00
 0.80 246 00  0.00 00   0 00 11.30 00 319 00
 0.87 236 00  0.00 00   0 00 11.00 00 321 00
 0.93 236 00  0.00 00   0 00 11.20 00 316 00
 1.00 234 00  0.00 00   0 00 11.90 00 311 00
 1.07 241 00  0.00 00   0 00 11.40 00 311 00
 1.13 234 00  0.00 00   0 00 11.40 00 306 00
 1.20 231 00  0.00 00   0 00 11.70 00 301 00
 1.27 244 00  0.00 00   0 00 12.40 00 309 00
 1.33 226 00  0.00 00   0 00 12.10 00 296 00
 1.40 226 00  0.00 00   0 00 11.50 00 286 00
 1.47 336 00  0.00  R   0  F  0.00  L   0  L
 1.53 224 00  0.00 00   0 00 12.30 00 296 00
 1.60 224 00  0.00 00   0 00 12.30 00 291 00
 1.67 221 00  0.00 00   0 00 12.10 00 289 00
 1.73 224 00  0.00 00   0 00 12.60 00 291 00
 1.80 224 00  0.00 00   0 00 12.60 00 296 00
 1.87 218 00  0.00 00   0 00 12.50 00 281 00
 1.93 218 00  0.00 00   0 00 12.00 00 276 00
 2.00 221 00  0.00 00   0 00 12.30 00 291 00
 2.07 218 00  0.00 00   0 00  0.00 00   0 00
 2.13 226 00  0.00 00   0 00  0.00 00   0 00
 2.20 224 00  0.00 00   0 00  0.00 00   0 00
