HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
 0.00 241 00  0.00 00   0 00  9.37 00 329 00
 0.08 239 00  0.00 00   0 00  9.47 00 314 00
 0.17 234 00  0.00 00   0 00  9.09 00 294 00
 0.25 231 00  0.00 00   0 00  0.00  R   0  R
 0.33 241 00  0.00 00   0 00  0.00  R   0  R
 0.42 238 00  0.00 00   0 00  0.00  R   0  R
 0.50 211 00  0.00 00   0 00  0.00  R   0  R
 0.58 221 00  0.00 00   0 00  0.00  R   0  R
 0.67 216 00  0.00 00   0 00  0.00  R   0  R
 0.75 236 00  0.00 00   0 00  0.00  R   0  R
 0.83 249 00  0.00 00   0 00  0.00  R   0  R
 0.92 246 00  0.00 00   0 00  0.00  R   0  R
 1.00 218 00  0.00 00   0 00  0.00  R   0  R
 1.08 221 00  0.00 00   0 00  0.00  R   0 00
 1.17 203 00  0.00 00   0 00  0.00  R   0  R
 1.25 213 00  0.00 00   0 00  0.00  R   0  R
 1.33 216 00  0.00 00   0 00  0.00  R   0  R
 1.42 218 00  0.00 00   0 00  0.00  R   0  R
 1.50 213 00  0.00 00   0 00  0.00  R   0  R
 1.58 231 00  0.00 00   0 00  0.00  R   0  R
 1.67 216 00  0.00 00   0 00  0.00  R   0  R
 1.75 206 00  0.00 00   0 00  0.00  R   0  R
 1.83 213 00  0.00 00   0 00  0.00  R   0  R
 1.92 213 00  0.00 00   0 00  0.00  R   0  R
 2.00 221 00  0.00 00   0 00  0.00  R   0  R
 2.08 221 00  0.00 00   0 00  0.00  R   0  R
 2.17 206 00  0.00 00   0 00  0.00  R   0  R
 2.25 198 00  0.00 00   0 00  0.00  R   0 00
 2.33 186 00  0.00 00   0 00  0.00  R   0  R
 2.42 211 00  0.00 00   0 00  0.00  R   0  R
 2.50 254 00  0.00 00   0 00  0.00  R   0  R
 2.58 226 00  0.00 00   0 00  0.00  M   0  M
 2.67 221 00  0.00 00   0 00  0.00  R   0  R
 2.75 221 00  0.00 00   0 00  0.00  R   0  R
 2.83 216 00  0.00 00   0 00  0.00  R   0  R
 2.92 234 00  0.00 00   0 00  0.00  R   0  R
 3.00 221 00  0.00 00   0 00  0.00  R   0  R
 3.08 224 00  0.00 00   0 00  0.00  R   0  R
 3.17 224 00  0.00 00   0 00  0.00  M   0 00
 3.25 264 00  0.00 00   0 00  0.00  M   0  M
 3.33 241 00  0.00 00   0 00  0.00  M   0  M
 3.42 234 00  0.00 00   0 00  0.00  M   0  M
 3.50 234 00  0.00 00   0 00  0.00  M   0  M
 3.58 221 00  0.00 00   0 00  0.00  M   0  M
 3.67 241 00  0.00 00   0 00  0.00  M   0  M
 3.75 216 00  0.00 00   0 00  0.00  M   0  M
 3.83 211 00  0.00 00   0 00  0.00  M   0  M
 3.92 218 00  0.00 00   0 00  0.00  M   0  M
 4.00 218 00  0.00 00   0 00  0.00  M   0  M
 4.08 208 00  0.00 00   0 00  0.00  M   0  M
 4.17 213 00  0.00 00   0 00  0.00  M   0  M
 4.25 221 00  0.00 00   0 00  0.00  M   0  M
 4.33 211 00  0.00 00   0 00  0.00  M   0  M
 4.42 206 00  0.00 00   0 00  0.00  M   0  M
 4.50 224 00  0.00 00   0 00  0.00  M   0  M
 4.58 213 00  0.00 00   0 00  0.00  M   0  M
 4.67 229 00  0.00 00   0 00  0.00  M   0  M
 4.75 224 00  0.00 00   0 00  0.00  M   0  M
 4.83 229 00  0.00 00   0 00  0.00  M   0  M
 4.92 241 00  0.00 00   0 00  0.00  M   0  M
 5.00 221 00  0.00 00   0 00  0.00  M   0  M
 5.08 236 00  0.00 00   0 00  0.00  M   0  M
 5.17 239 00  0.00 00   0 00  0.00  M   0  M
 5.25 236 00  0.00 00   0 00  0.00  M   0  M
 5.33 251 00  0.00 00   0 00  0.00  M   0  M
 5.42 236 00  0.00 00   0 00  0.00  M   0  M
 5.50 241 00  0.00 00   0 00  0.00  M   0  M
 5.58 234 00  0.00 00   0 00  0.00  M   0  M
 5.67 234 00  0.00 00   0 00  0.00  M   0  M
 5.75 221 00  0.00 00   0 00  0.00  M   0  M
 5.83 206 00  0.00 00   0 00  0.00  M   0  M
 5.92 234 00  0.00 00   0 00  0.00  M   0  M
 6.00 229 00  0.00 00   0 00  0.00  M   0  M
 6.08 224 00  0.00 00   0 00  0.00  M   0  M
 6.25 216 00  0.00 00   0 00  0.00  M   0  M
 6.33 221 00  0.00 00   0 00  0.00  M   0  M
 6.42 208 00  0.00 00   0 00  0.00  M   0  M
 6.50 208 00  0.00 00   0 00  0.00  M   0  M
 6.58 211 00  0.00 00   0 00  0.00  M   0  M
 6.67 218 00  0.00 00   0 00  0.00  M   0  M
 6.75 216 00  0.00 00   0 00  0.00  M   0  M
 6.83 218 00  0.00 00   0 00  0.00  M   0  M
 6.92 224 00  0.00 00   0 00  0.00  M   0  M
 7.00 226 00  0.00 00   0 00  0.00  M   0  M
 7.08 206 00  0.00 00   0 00  0.00  M   0  M
 7.17 224 00  0.00 00   0 00  0.00  M   0  M
 7.25 218 00  0.00 00   0 00  0.00  M   0  M
 7.33 216 00  0.00 00   0 00  0.00  M   0  M
 7.42 216 00  0.00 00   0 00  0.00  M   0  M
 7.50 213 00  0.00 00   0 00  2.22 00 236 00
 7.58 239 00  0.00 00   0 00  0.00  M   0  M
 7.67 231 00  0.00 00   0 00  0.00  M   0  M
 7.75 239 00  0.00 00   0 00  0.00  M   0  M
 7.83 239 00  0.00 00   0 00  0.00  M   0  M
