HORA H'F QD FOF1 QD H'F2 QD FOF2 QD HPF2 QD 
10.08 213 00  0.00  L   0  L  4.55 00 241 00
10.17 208 00  0.00  L   0  L  4.53 00 241 00
10.25 216 00  0.00  L   0  L  4.48 00 246 00
10.33 208 00  0.00  L   0  L  4.62 00 266 00
10.42 213 00  0.00  L   0  L  4.58 00 246 00
10.50 201 00  0.00  L   0  L  4.48 00 239 00
10.58 203 00  0.00  L   0  L  4.39 00 221 00
10.67 211 00  0.00  L   0  L  4.35 00 224 00
10.75 181 00  0.00  L   0  L  4.22 00 203 00
10.83 191 00  0.00  L   0  L  4.20 00 213 00
11.00 213 00  0.00  L   0  L  4.33 00 213 00
11.08 213 00  0.00  L   0  L  4.20 00 213 00
11.17 196 00  0.00  L   0  L  4.24 00 206 00
11.25 181 00  0.00  L   0  L  4.24 00 201 00
11.33 183 00  0.00  L   0  L  4.35 00 198 00
11.42 183 00  0.00  L   0  L  4.48 00 211 00
11.50 193 00  0.00  L   0  L  4.48 00 206 00
11.58 198 00  0.00  L   0  L  4.44 00 201 00
11.67 193 00  0.00  L   0  L  4.37 00 201 00
11.75 173 00  0.00  L   0  L  4.37 00 206 00
11.83 176 00  0.00  L   0  L  4.35 00 211 00
11.92 193 00  0.00  L   0  L  4.37 00 198 00
12.00 198 00  0.00  L   0  L  4.42 00 213 00
12.08 196 00  0.00  L   0  L  4.37 00 196 00
12.17 203 00  0.00  L   0  L  4.37 00 198 00
12.25 198 00  0.00  L   0  L  4.65 00 203 00
12.33 198 00  0.00  L   0  L  4.39 00 193 00
12.42 186 00  0.00  L   0  L  4.51 00 201 00
12.50 198 00  0.00  L   0  L  4.44 00 186 00
12.58 181 00  0.00  L   0  L  4.39 00 188 00
12.67 181 00  0.00  L   0  L  4.51 00 191 00
12.75 193 00  0.00  L   0  L  4.48 00 198 00
12.83 203 00  0.00  L   0  L  4.58 00 191 00
12.92 188 00  0.00 00   0 00  4.72 00 198 00
13.00 201 00  0.00  L   0  L  4.46 00 193 00
13.08 181 00  0.00  L   0  L  4.60 00 201 00
13.17 186 00  0.00  L   0  L  4.79 00 196 00
13.25 203 00  4.53 00 564 00  5.75 00 569 00
13.33 206 00  4.58 00 552 00  5.96 00 564 00
13.42 191 00  4.39 00 514 00  5.69 00 547 00
13.50 196 00  4.55 00 522 00  5.87 00 572 00
13.58 203 00  4.37 00 532 00  6.11 00 602 00
13.67 186 00  4.46 00 579 00  6.21 00 609 00
13.75 183 00  4.53 00 572 00  5.99 00 597 00
13.83 186 00  4.51 00 547 00  6.37 00 587 00
13.92 193 00  4.39 00 552 00  6.34 00 594 00
14.00 206 00  4.48 IC 577 00  6.18 00 609 00
14.08 193 00  4.77 00 572 00  6.27 00 594 00
14.17 203 00  4.89 00 557 00  6.47 00 574 00
14.25 203 00  4.79 00 559 00  6.34 00 587 00
14.33 186 00  4.67 00 569 00  6.27 00 584 00
14.42 206 00  4.60 00 567 00  6.47 00 592 00
14.50 191 00  4.48 00 564 00  6.40 00 592 00
14.58 191 00  4.62 00 572 00  6.43 00 589 00
14.67 181 00  4.69 00 577 00  6.67 00 577 00
14.75 188 00  4.91 00 559 00  6.60 00 564 00
14.83 193 00  4.51 00 569 00  6.84 00 567 00
14.92 181 00  4.89 00 552 00  6.67 00 567 00
15.00 188 00  4.62 00 552 00  6.80 00 569 00
15.08 191 00  4.79 00 542 00  7.12 00 542 00
15.17 178 00  4.55 00 532 00  7.09 00 547 00
15.25 183 00  4.53 00 532 00  7.27 00 539 00
15.33 181 00  4.51 00 499 00  7.23 00 539 00
15.42 188 00  4.48 00 482 00  7.20 00 534 00
15.50 186 00  4.48 00 482 00  7.49 00 532 00
15.58 191 00  4.48 00 484 00  7.27 00 522 00
15.67 173 00  4.69 00 482 00  7.27 00 519 00
15.75 176 00  4.58 00 474 00  7.57 00 517 00
15.83 186 00  4.39 00 464 00  7.38 00 509 00
15.92 183 00  4.55 00 477 00  7.27 00 499 00
16.00   0  C  4.35 00 467 00  7.49 00 502 00
16.08 191 00  4.60 00 464 00  7.12 00 492 00
16.17 178 00  4.46 00 442 00  7.49 00 487 00
16.25 178 00  4.67 00 439 00  7.77 00 497 00
16.33 171 00  4.96 00 462 00  7.85 00 487 00
16.42 168 00  4.53 00 439 00  7.65 00 474 00
16.50 188 00  4.44 00 439 00  7.85 00 482 00
16.58 178 00  4.65 00 444 00  8.17 00 462 00
16.67 186 00  4.58 00 442 00  8.34 00 442 00
16.75 208 00  4.33 00 449 00  8.42 00 449 00
16.83   0  C  4.53 00 406 00  8.55 00 424 00
16.92 231 00  4.65 00 396 00  8.30 00 431 00
17.00 198 00  4.37 00 376 00  8.51 00 431 00
17.08 186 00  4.33 00 386 00  8.42 00 424 00
17.17 196 00  4.53 00 371 00  8.73 00 401 00
17.25 181 00  4.42 00 394 00  9.23 00 429 00
17.33 171 00  4.48 00 369 00  9.09 00 404 00
17.42 191 00  4.33 00 349 00  9.37 00 371 00
17.50 191 00  4.22 00 344 00  9.33 00 361 00
17.58 191 00  4.46 00 339 00  9.47 00 366 00
17.67 181 00  4.37 00 319 00 10.20 00 366 00
17.75 231 00  4.39 00 326 00  9.86 00 351 00
