 Data  Fluxo     foF2 
09_001   689     9.850
09_002   699     9.050
09_003   695     9.350
09_004   688     9.150
09_005   692     9.250
09_006   687     9.450
09_007   690     8.750
09_008   687     9.350
09_009   697     9.800
09_010   709    10.150
09_011   700     8.150
09_012   693     8.750
09_013   705     9.050
09_014   712     9.900
09_015   711     9.050
09_016   708     9.525
09_017   719     8.700
09_018   711     9.250
09_019   708     9.250
09_020   704     9.050
09_021   694     8.150
09_022   690     8.250
09_023   700     8.450
09_024   688     8.050
09_025   698     8.750
09_026   699     8.550
09_027   697     7.550
09_028   695     7.350
09_029   693     8.900
09_030   691     8.550
09_031   694     8.825
09_032   695     9.350
09_033   691    10.350
09_034   693     8.213
09_035   695     9.050
09_036   701     8.150
09_037   701     8.300
09_038   711     7.850
09_039   712     7.800
09_040   707     9.000
09_041   676     8.950
09_042   703     8.813
09_043   697     8.150
09_044   701     8.725
09_045   701     9.300
09_046   696     8.050
09_047   695     8.550
09_048   706     7.250
09_049   698     7.650
09_050   689     7.800
09_051   692     7.600
09_052   706     7.025
09_053   703     8.900
09_054   708     8.350
09_055   710     7.750
09_056   707     7.650
09_057   699     9.050
09_058   689     8.200
09_059   706     8.950
09_060   694     7.950
09_061   692     7.650
09_062   691      ----
09_063   697     7.450
09_064   692     7.750
09_065   691     6.750
09_066   691     9.250
09_067   689     8.250
09_068   681     8.050
09_069   688     8.750
09_070   689     7.725
09_071   687     8.725
09_072   682     9.350
09_073   685    10.050
09_074   684     9.150
09_075   694     9.425
09_076   688     8.150
09_077   684     6.525
09_078   691     8.150
09_079   687     6.650
09_080   701     8.350
09_081   687      ----
09_082   680      ----
09_083   691     9.250
09_084   685     8.550
09_085   691     8.750
09_086   716     8.300
09_087   706     9.900
09_088   709     9.350
09_089   709     8.850
09_090   712     8.750
09_091   708      ----
09_092   706     7.000
09_093   704     8.350
09_094   701     7.250
09_095   704     8.250
09_096   688      ----
09_097   702     7.550
09_098   700     7.913
09_099   701     9.712
09_100   694     6.675
09_101   693     8.712
09_102   693     7.400
09_103   684     9.357
09_104   694     8.125
09_105   694     6.363
09_106   699     8.200
09_107   698     7.063
09_108   699     8.212
09_109   701     7.207
09_110   698     9.075
09_111   710     6.563
09_112   711     6.725
09_113   706    10.275
09_114   697     7.925
09_115   694     5.475
09_116   692     7.375
09_117   677     7.725
09_118   688     8.625
09_119   695     5.613
09_120   694     5.125
09_121   685     5.225
09_122   683     5.175
09_123   686     7.207
09_124   680     7.406
09_125   680     9.906
09_126   687      ----
09_127   695     7.457
09_128   708     7.625
09_129   723     8.475
09_130   718     6.125
09_131   719     8.857
09_132   739     6.100
09_133   738     6.875
09_134   739     5.875
09_135   737     5.825
09_136   742     6.257
09_137   740     5.325
09_138   729     6.850
09_139   723     6.313
09_140   715     5.475
09_141   718     7.125
09_142   721     5.454
09_143   704     5.813
09_144   692     6.813
09_145   689     5.975
09_146   681      ----
09_147   667     5.625
09_148   677     6.675
09_149   682     5.575
09_150   685     5.263
09_151   685     5.500
09_152   725     5.475
09_153   719     8.325
09_154   725     7.175
09_155   710     5.050
09_156   701     9.425
09_157   690     6.500
09_158   689     5.663
09_159   690     6.512
09_160   691     5.762
09_161   692     4.775
09_162   693     5.275
09_163   690     6.125
09_164   682     5.425
09_165   681     4.875
09_166   674     4.525
09_167   683     4.250
09_168   678     5.825
09_169   677     6.475
09_170   670     5.213
09_171   667     5.450
09_172   670     5.075
09_173   680     5.450
09_174   679     6.075
09_175   668     4.675
09_176   680     5.262
09_177   668     6.375
09_178   670     7.275
09_179   670     6.675
09_180   685     5.300
09_181   682     5.325
09_182   675     5.450
09_183   665     4.800
09_184   673     5.657
09_185   710     6.575
09_186   716     5.263
09_187   689     6.800
09_188   713     5.025
09_189   708     5.125
09_190   691     5.050
09_191   678     5.475
09_192   682     5.963
09_193   680     6.225
09_194   672     5.375
09_195   666     5.425
09_196   665     6.913
09_197   667     5.725
09_198   662     4.325
09_199   670     5.363
09_200   676     4.575
09_201   682     4.725
09_202   677     5.375
09_203   678     7.863
09_204   678     7.775
09_205   683     8.212
09_206   691     5.512
09_207   676     5.500
09_208   684     6.825
09_209   687     4.925
09_210   683     5.075
09_211   680     5.475
09_212   687     5.675
09_213   681     5.275
09_214   681     6.225
09_215   674     7.575
09_216   658     7.257
09_217   662     8.525
09_218   668     6.856
09_219   678    10.100
09_220   670     6.575
09_221   672     7.625
09_222   671     7.175
09_223   666     5.612
09_224   665     6.075
09_225   672     7.075
09_226   676     5.625
09_227   681     4.725
09_228   688     5.125
09_229   681     5.725
09_230   674     4.675
09_231   671     6.825
09_232   676     7.175
09_233   664     5.275
09_234   666     4.925
