

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_14_23-04-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 66	 1 min	17:46 14.01.08	17:47 14.01.08	0000000022	0.367 	0.239  
 67	 1 min	17:47 14.01.08	17:48 14.01.08	0000000037	0.617 	0.402  
 68	 1 min	17:48 14.01.08	17:49 14.01.08	0000000023	0.383 	0.250  
 69	 1 min	17:49 14.01.08	17:50 14.01.08	0000000033	0.550 	0.358  
 70	 1 min	17:50 14.01.08	17:51 14.01.08	0000000039	0.650 	0.423  
 71	 1 min	17:51 14.01.08	17:52 14.01.08	0000000036	0.600 	0.391  
 72	 1 min	17:52 14.01.08	17:53 14.01.08	0000000020	0.333 	0.217  
 73	 1 min	17:53 14.01.08	17:54 14.01.08	0000000031	0.517 	0.337  
 74	 1 min	17:54 14.01.08	17:55 14.01.08	0000000033	0.550 	0.358  
 75	 1 min	17:55 14.01.08	17:56 14.01.08	0000000034	0.567 	0.369  
 76	 1 min	17:56 14.01.08	17:57 14.01.08	0000000032	0.533 	0.347  
 77	 1 min	17:57 14.01.08	17:58 14.01.08	0000000040	0.667 	0.434  
 78	 1 min	17:58 14.01.08	17:59 14.01.08	0000000024	0.400 	0.261  
 79	 1 min	17:59 14.01.08	18:00 14.01.08	0000000035	0.583 	0.380  
 80	 1 min	18:00 14.01.08	18:01 14.01.08	0000000022	0.367 	0.239  
 81	 1 min	18:01 14.01.08	18:02 14.01.08	0000000030	0.500 	0.326  
 82	 1 min	18:02 14.01.08	18:03 14.01.08	0000000038	0.633 	0.413  
 83	 1 min	18:03 14.01.08	18:04 14.01.08	0000000033	0.550 	0.358  
 84	 1 min	18:04 14.01.08	18:05 14.01.08	0000000029	0.483 	0.315  
 85	 1 min	18:05 14.01.08	18:06 14.01.08	0000000027	0.450 	0.293  
 86	 1 min	18:06 14.01.08	18:07 14.01.08	0000000036	0.600 	0.391  
 87	 1 min	18:07 14.01.08	18:08 14.01.08	0000000037	0.617 	0.402  
 88	 1 min	18:08 14.01.08	18:09 14.01.08	0000000046	0.767 	0.499  
 89	 1 min	18:09 14.01.08	18:10 14.01.08	0000000029	0.483 	0.315  
 90	 1 min	18:10 14.01.08	18:11 14.01.08	0000000036	0.600 	0.391  
