

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_13_12-02-01.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 66	  Hour	00:37 12.07.10	01:37 12.07.10	0000001896	0.527 	0.343  
 67	  Hour	01:37 12.07.10	02:37 12.07.10	0000001866	0.518 	0.338  
 68	  Hour	02:37 12.07.10	03:37 12.07.10	0000001861	0.517 	0.337  
 69	  Hour	03:37 12.07.10	04:37 12.07.10	0000001918	0.533 	0.347  
 70	  Hour	04:37 12.07.10	05:37 12.07.10	0000001885	0.524 	0.341  
 71	  Hour	05:37 12.07.10	06:37 12.07.10	0000001857	0.516 	0.336  
 72	  Hour	06:37 12.07.10	07:37 12.07.10	0000001979	0.550 	0.358  
 73	  Hour	07:37 12.07.10	08:37 12.07.10	0000001898	0.527 	0.343  
 74	  Hour	08:37 12.07.10	09:37 12.07.10	0000001859	0.516 	0.336  
 75	  Hour	09:37 12.07.10	10:37 12.07.10	0000001917	0.533 	0.347  
 76	  Hour	10:37 12.07.10	11:37 12.07.10	0000001900	0.528 	0.344  
 77	  Hour	11:37 12.07.10	12:37 12.07.10	0000001888	0.524 	0.342  
 78	  Hour	12:37 12.07.10	13:37 12.07.10	0000001785	0.496 	0.323  
 79	  Hour	13:37 12.07.10	14:37 12.07.10	0000001872	0.520 	0.339  
 80	  Hour	14:37 12.07.10	15:37 12.07.10	0000001852	0.514 	0.335  
 81	  Hour	15:37 12.07.10	16:37 12.07.10	0000001892	0.526 	0.342  
 82	  Hour	16:37 12.07.10	17:37 12.07.10	0000001914	0.532 	0.346  
 83	  Hour	17:37 12.07.10	18:37 12.07.10	0000001926	0.535 	0.349  
 84	  Hour	18:37 12.07.10	19:37 12.07.10	0000001825	0.507 	0.330  
 85	  Hour	19:37 12.07.10	20:37 12.07.10	0000001881	0.522 	0.340  
 86	  Hour	20:37 12.07.10	21:37 12.07.10	0000001935	0.538 	0.350  
 87	  Hour	21:37 12.07.10	22:37 12.07.10	0000001866	0.518 	0.338  
 88	  Hour	22:37 12.07.10	23:37 12.07.10	0000001941	0.539 	0.351  
 89	  Hour	23:37 12.07.10	00:37 13.07.10	0000001861	0.517 	0.337  
 90	  Hour	00:37 13.07.10	01:37 13.07.10	0000001921	0.534 	0.348  
 91	  Hour	01:37 13.07.10	02:37 13.07.10	0000001842	0.512 	0.333  
 92	  Hour	02:37 13.07.10	03:37 13.07.10	0000001883	0.523 	0.341  
 93	  Hour	03:37 13.07.10	04:37 13.07.10	0000001900	0.528 	0.344  
 94	  Hour	04:37 13.07.10	05:37 13.07.10	0000001898	0.527 	0.343  
 95	  Hour	05:37 13.07.10	06:37 13.07.10	0000001906	0.529 	0.345  
 96	  Hour	06:37 13.07.10	07:37 13.07.10	0000001940	0.539 	0.351  
 97	  Hour	07:37 13.07.10	08:37 13.07.10	0000001895	0.526 	0.343  
 98	  Hour	08:37 13.07.10	09:37 13.07.10	0000001851	0.514 	0.335  
 99	  Hour	09:37 13.07.10	10:37 13.07.10	0000001847	0.513 	0.334  
 100	  Hour	10:37 13.07.10	11:37 13.07.10	0000001870	0.519 	0.338  
-----------------------------------------------------------------------------
