8200000000.0000,   3.4784,   0.0773,   0.9597,  -0.0016
8221000000.0000,   3.4771,   0.0735,   0.9569,   0.0060
8242000000.0000,   3.4754,   0.0719,   0.9598,   0.0048
8263000000.0000,   3.4723,   0.0760,   0.9632,   0.0040
8284000000.0000,   3.4734,   0.0744,   0.9626,   0.0091
8305000000.0000,   3.4790,   0.0765,   0.9552,   0.0124
8326000000.0000,   3.4805,   0.0807,   0.9493,   0.0025
8347000000.0000,   3.4715,   0.0771,   0.9599,   0.0020
8368000000.0000,   3.4736,   0.0780,   0.9578,  -0.0007
8389000000.0000,   3.4661,   0.0760,   0.9674,   0.0013
8410000000.0000,   3.4628,   0.0768,   0.9692,   0.0063
8431000000.0000,   3.4706,   0.0787,   0.9578,   0.0063
8452000000.0000,   3.4666,   0.0821,   0.9608,  -0.0030
8473000000.0000,   3.4604,   0.0821,   0.9666,  -0.0058
8494000000.0000,   3.4586,   0.0811,   0.9686,  -0.0014
8515000000.0000,   3.4606,   0.0737,   0.9688,   0.0063
8536000000.0000,   3.4541,   0.0770,   0.9732,   0.0002
8557000000.0000,   3.4628,   0.0766,   0.9660,   0.0092
8578000000.0000,   3.4593,   0.0767,   0.9687,   0.0051
8599000000.0000,   3.4486,   0.0747,   0.9785,  -0.0036
8620000000.0000,   3.4478,   0.0735,   0.9793,   0.0024
8641000000.0000,   3.4464,   0.0717,   0.9789,   0.0065
8662000000.0000,   3.4472,   0.0709,   0.9792,   0.0071
8683000000.0000,   3.4538,   0.0759,   0.9708,   0.0048
8704000000.0000,   3.4500,   0.0723,   0.9729,   0.0085
8725000000.0000,   3.4478,   0.0711,   0.9765,   0.0076
8746000000.0000,   3.4447,   0.0701,   0.9783,   0.0077
8767000000.0000,   3.4418,   0.0678,   0.9813,   0.0111
8788000000.0000,   3.4420,   0.0674,   0.9810,   0.0084
8809000000.0000,   3.4474,   0.0714,   0.9729,   0.0068
8830000000.0000,   3.4443,   0.0711,   0.9751,   0.0078
8851000000.0000,   3.4429,   0.0705,   0.9757,   0.0011
8872000000.0000,   3.4413,   0.0689,   0.9791,   0.0045
8893000000.0000,   3.4393,   0.0641,   0.9820,   0.0146
8914000000.0000,   3.4422,   0.0640,   0.9796,   0.0205
8935000000.0000,   3.4429,   0.0651,   0.9753,   0.0136
8956000000.0000,   3.4437,   0.0654,   0.9758,   0.0097
8977000000.0000,   3.4448,   0.0665,   0.9717,   0.0097
8998000000.0000,   3.4432,   0.0639,   0.9733,   0.0147
9019000000.0000,   3.4386,   0.0603,   0.9775,   0.0204
9040000000.0000,   3.4368,   0.0605,   0.9815,   0.0184
9061000000.0000,   3.4349,   0.0619,   0.9800,   0.0137
9082000000.0000,   3.4377,   0.0623,   0.9767,   0.0144
9103000000.0000,   3.4373,   0.0629,   0.9746,   0.0126
9124000000.0000,   3.4378,   0.0616,   0.9764,   0.0140
9145000000.0000,   3.4414,   0.0594,   0.9741,   0.0155
9166000000.0000,   3.4384,   0.0612,   0.9750,   0.0173
9187000000.0000,   3.4334,   0.0619,   0.9786,   0.0132
9208000000.0000,   3.4344,   0.0595,   0.9769,   0.0192
9229000000.0000,   3.4396,   0.0600,   0.9732,   0.0210
9250000000.0000,   3.4391,   0.0594,   0.9722,   0.0217
9271000000.0000,   3.4368,   0.0562,   0.9735,   0.0158
9292000000.0000,   3.4359,   0.0538,   0.9758,   0.0168
9313000000.0000,   3.4383,   0.0562,   0.9713,   0.0229
9334000000.0000,   3.4356,   0.0553,   0.9744,   0.0255
9355000000.0000,   3.4388,   0.0565,   0.9666,   0.0210
9376000000.0000,   3.4352,   0.0543,   0.9713,   0.0186
