39927.64116	41.90
39927.64150	43.81
39927.64185	24.76
39927.64220	17.14
39927.64255	49.52
39927.64289	36.19
39927.64324	32.38
39927.64359	40.00
39927.64394	26.67
39927.64428	28.57
39927.64463	34.29
39927.64498	19.05
39927.64532	30.48
39927.64567	26.67
39927.64602	22.86
39927.64637	22.86
39927.64671	26.67
39927.64706	40.00
39927.64741	24.76
39927.64775	30.48
39927.64810	28.57
39927.64845	9.52
39927.64880	28.57
39927.64914	30.48
39927.64949	28.57
39927.64984	40.00
39927.65019	24.76
39927.65053	28.57
39927.65088	7.62
39927.65123	34.29
39927.65157	32.38
39927.65192	40.00
39927.65227	19.05
39927.65262	41.90
39927.65296	26.67
39927.65331	28.57
39927.65366	49.52
39927.65400	20.95
39927.65435	43.81
39927.65470	32.38
39927.65505	28.57
39927.65539	30.48
39927.65574	24.76
39927.65609	26.67
39927.65644	30.48
39927.65678	32.38
39927.65713	24.76
39927.65748	36.19
39927.65782	36.19
39927.65817	28.57
39927.65852	41.90
39927.65887	11.43
39927.65921	26.67
39927.65956	15.24
39927.65991	28.57
39927.66025	34.29
39927.66060	30.48
39927.66095	24.76
39927.66130	20.95
39927.66164	20.95
39927.66199	24.76
39927.66234	20.95
39927.66269	28.57
39927.66303	28.57
39927.66338	22.86
39927.66373	34.29
39927.66407	28.57
39927.66442	30.48
39927.66477	28.57
39927.66512	28.57
39927.66546	15.24
39927.66581	32.38
39927.66616	30.48
39927.66650	36.19
39927.66685	19.05
39927.66720	13.33
39927.66755	15.24
39927.66789	20.95
39927.66824	20.95
39927.66859	26.67
39927.66894	24.76
39927.66928	22.86
39927.66963	34.29
39927.66998	24.76
39927.67032	24.76
39927.67067	19.05
39927.67102	17.14
39927.67137	40.00
39927.67171	26.67
39927.67206	19.05
39927.67241	51.43
39927.67275	24.76
39927.67310	20.95
39927.67345	30.48
39927.67380	24.76
39927.67414	40.00
39927.67449	30.48
39927.67484	40.00
39927.67519	24.76
39927.67553	30.48
39927.67588	30.48
39927.67623	30.48
39927.67657	20.95
39927.67692	17.14
39927.67727	32.38
39927.67762	28.57
39927.67796	24.76
39927.67831	32.38
39927.67866	15.24
39927.67900	32.38
39927.67935	34.29
39927.67970	34.29
39927.68005	34.29
39927.68039	34.29
39927.68074	34.29
39927.68109	28.57
39927.68144	22.86
39927.68178	20.95
39927.68213	24.76
39927.68248	28.57
39927.68282	30.48
39927.68317	22.86
39927.68352	30.48
39927.68387	22.86
39927.68421	34.29
39927.68456	19.05
39927.68491	32.38
39927.68525	26.67
39927.68560	20.95
39927.68595	32.38
39927.68630	34.29
39927.68664	34.29
39927.68699	17.14
39927.68734	22.86
39927.68769	22.86
39927.68803	19.05
39927.68838	22.86
39927.68873	28.57
39927.68907	17.14
39927.68942	20.95
39927.68977	26.67
39927.69012	26.67
39927.69046	34.29
39927.69081	32.38
39927.69116	40.00
39927.69150	36.19
39927.69185	38.10
39927.69220	24.76
39927.69255	32.38
39927.69289	24.76
39927.69324	19.05
39927.69359	36.19
39927.69394	24.76
39927.69428	36.19
39927.69463	26.67
39927.69498	26.67
39927.69532	28.57
39927.69567	32.38
39927.69602	22.86
39927.69637	26.67
39927.69671	26.67
39927.69706	30.48
39927.69741	20.95
39927.69775	28.57
39927.69810	34.29
39927.69845	32.38
39927.69880	22.86
39927.69914	32.38
39927.69949	38.10
39927.69984	43.81
39927.70019	30.48
39927.70053	26.67
39927.70088	17.14
39927.70123	28.57
