

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_01_21-41-17.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Week 	22:57 18.11.09	22:58 18.11.09	0000000013	0.000 	0.000 x
 68	10 min	09:40 19.11.09	09:50 19.11.09	0000000320	0.533 	0.347  
 69	10 min	09:50 19.11.09	10:00 19.11.09	0000000329	0.548 	0.357  
 70	10 min	10:00 19.11.09	10:10 19.11.09	0000000332	0.553 	0.360  
 71	10 min	10:10 19.11.09	10:20 19.11.09	0000000317	0.528 	0.344  
 72	10 min	10:20 19.11.09	10:30 19.11.09	0000000325	0.542 	0.353  
 73	10 min	10:30 19.11.09	10:40 19.11.09	0000000276	0.460 	0.300  
 74	10 min	10:40 19.11.09	10:50 19.11.09	0000000324	0.540 	0.352  
 75	10 min	10:50 19.11.09	11:00 19.11.09	0000000336	0.560 	0.365  
 76	10 min	11:00 19.11.09	11:10 19.11.09	0000000283	0.472 	0.307  
 77	10 min	11:10 19.11.09	11:20 19.11.09	0000000302	0.503 	0.328  
 78	10 min	11:20 19.11.09	11:30 19.11.09	0000000301	0.502 	0.327  
 79	10 min	11:30 19.11.09	11:40 19.11.09	0000000315	0.525 	0.342  
 80	10 min	11:40 19.11.09	11:50 19.11.09	0000000347	0.578 	0.377  
 81	10 min	11:50 19.11.09	12:00 19.11.09	0000000308	0.513 	0.334  
 82	10 min	12:00 19.11.09	12:10 19.11.09	0000000355	0.592 	0.385  
 83	10 min	12:10 19.11.09	12:20 19.11.09	0000000325	0.542 	0.353  
 84	10 min	12:20 19.11.09	12:30 19.11.09	0000000351	0.585 	0.381  
 85	10 min	12:30 19.11.09	12:40 19.11.09	0000000338	0.563 	0.367  
 86	10 min	12:40 19.11.09	12:50 19.11.09	0000000339	0.565 	0.368  
 87	10 min	12:50 19.11.09	13:00 19.11.09	0000000310	0.517 	0.337  
 88	10 min	13:00 19.11.09	13:10 19.11.09	0000000309	0.515 	0.336  
 89	10 min	13:10 19.11.09	13:20 19.11.09	0000000331	0.552 	0.359  
 90	10 min	13:20 19.11.09	13:30 19.11.09	0000000334	0.557 	0.363  
 91	10 min	13:30 19.11.09	13:40 19.11.09	0000000340	0.567 	0.369  
 92	10 min	13:40 19.11.09	13:50 19.11.09	0000000305	0.508 	0.331  
 93	10 min	13:50 19.11.09	14:00 19.11.09	0000000322	0.537 	0.350  
 94	10 min	14:00 19.11.09	14:10 19.11.09	0000000324	0.540 	0.352  
 95	10 min	14:10 19.11.09	14:20 19.11.09	0000000348	0.580 	0.378  
 96	10 min	14:20 19.11.09	14:30 19.11.09	0000000325	0.542 	0.353  
 97	10 min	14:30 19.11.09	14:40 19.11.09	0000000309	0.515 	0.336  
 98	10 min	14:40 19.11.09	14:50 19.11.09	0000000314	0.523 	0.341  
 99	10 min	14:50 19.11.09	15:00 19.11.09	0000000290	0.483 	0.315  
 100	10 min	15:00 19.11.09	15:10 19.11.09	0000000319	0.532 	0.346  
 101	10 min	15:10 19.11.09	15:20 19.11.09	0000000301	0.502 	0.327  
 102	10 min	15:20 19.11.09	15:30 19.11.09	0000000286	0.477 	0.311  
 103	10 min	15:30 19.11.09	15:40 19.11.09	0000000329	0.548 	0.357  
 104	10 min	15:40 19.11.09	15:50 19.11.09	0000000306	0.510 	0.332  
 105	10 min	15:50 19.11.09	16:00 19.11.09	0000000342	0.570 	0.371  
 106	10 min	16:00 19.11.09	16:10 19.11.09	0000000315	0.525 	0.342  
 107	10 min	16:10 19.11.09	16:20 19.11.09	0000000321	0.535 	0.349  
 108	10 min	16:20 19.11.09	16:30 19.11.09	0000000338	0.563 	0.367  
 109	10 min	16:30 19.11.09	16:40 19.11.09	0000000321	0.535 	0.349  
 110	10 min	16:40 19.11.09	16:50 19.11.09	0000000359	0.598 	0.390  
 111	10 min	16:50 19.11.09	17:00 19.11.09	0000000316	0.527 	0.343  
 112	10 min	17:00 19.11.09	17:10 19.11.09	0000000366	0.610 	0.397  
 113	10 min	17:10 19.11.09	17:20 19.11.09	0000000289	0.482 	0.314  
 114	10 min	17:20 19.11.09	17:30 19.11.09	0000000326	0.543 	0.354  
 115	10 min	17:30 19.11.09	17:40 19.11.09	0000000285	0.475 	0.309  
 116	10 min	17:40 19.11.09	17:50 19.11.09	0000000312	0.520 	0.339  
 117	10 min	17:50 19.11.09	18:00 19.11.09	0000000325	0.542 	0.353  
 118	10 min	18:00 19.11.09	18:10 19.11.09	0000000329	0.548 	0.357  
 119	10 min	18:10 19.11.09	18:20 19.11.09	0000000332	0.553 	0.360  
 120	10 min	18:20 19.11.09	18:30 19.11.09	0000000298	0.497 	0.324  
 121	10 min	18:30 19.11.09	18:40 19.11.09	0000000312	0.520 	0.339  
 122	10 min	18:40 19.11.09	18:50 19.11.09	0000000292	0.487 	0.317  
 123	10 min	18:50 19.11.09	19:00 19.11.09	0000000343	0.572 	0.372  
 124	10 min	19:00 19.11.09	19:10 19.11.09	0000000334	0.557 	0.363  
 125	10 min	19:10 19.11.09	19:20 19.11.09	0000000327	0.545 	0.355  
 126	10 min	19:20 19.11.09	19:30 19.11.09	0000000331	0.552 	0.359  
 127	10 min	19:30 19.11.09	19:40 19.11.09	0000000310	0.517 	0.337  
 128	10 min	19:40 19.11.09	19:50 19.11.09	0000000324	0.540 	0.352  
 129	10 min	19:50 19.11.09	20:00 19.11.09	0000000324	0.540 	0.352  
 130	10 min	20:00 19.11.09	20:10 19.11.09	0000000301	0.502 	0.327  
 131	10 min	20:10 19.11.09	20:20 19.11.09	0000000320	0.533 	0.347  
 132	10 min	20:20 19.11.09	20:30 19.11.09	0000000288	0.480 	0.313  
 133	10 min	20:30 19.11.09	20:40 19.11.09	0000000309	0.515 	0.336  
 134	10 min	20:40 19.11.09	20:50 19.11.09	0000000325	0.542 	0.353  
 135	10 min	20:50 19.11.09	21:00 19.11.09	0000000301	0.502 	0.327  
 136	10 min	21:00 19.11.09	21:10 19.11.09	0000000300	0.500 	0.326  
 137	10 min	21:10 19.11.09	21:20 19.11.09	0000000297	0.495 	0.322  
 138	10 min	21:20 19.11.09	21:30 19.11.09	0000000324	0.540 	0.352  
 139	10 min	21:30 19.11.09	21:40 19.11.09	0000000312	0.520 	0.339  
 140	10 min	21:40 19.11.09	21:50 19.11.09	0000000319	0.532 	0.346  
 141	10 min	21:50 19.11.09	22:00 19.11.09	0000000304	0.507 	0.330  
 142	10 min	22:00 19.11.09	22:10 19.11.09	0000000335	0.558 	0.364  
 143	10 min	22:10 19.11.09	22:20 19.11.09	0000000351	0.585 	0.381  
 144	10 min	22:20 19.11.09	22:30 19.11.09	0000000324	0.540 	0.352  
 145	10 min	22:30 19.11.09	22:40 19.11.09	0000000302	0.503 	0.328  
 146	10 min	22:40 19.11.09	22:50 19.11.09	0000000305	0.508 	0.331  
 147	10 min	22:50 19.11.09	23:00 19.11.09	0000000288	0.480 	0.313  
 148	10 min	23:00 19.11.09	23:10 19.11.09	0000000306	0.510 	0.332  
 149	10 min	23:10 19.11.09	23:20 19.11.09	0000000326	0.543 	0.354  
 150	10 min	23:20 19.11.09	23:30 19.11.09	0000000310	0.517 	0.337  
 151	10 min	23:30 19.11.09	23:40 19.11.09	0000000287	0.478 	0.312  
 152	10 min	23:40 19.11.09	23:50 19.11.09	0000000315	0.525 	0.342  
 153	10 min	23:50 19.11.09	00:00 20.11.09	0000000295	0.492 	0.320  
 154	10 min	00:00 20.11.09	00:10 20.11.09	0000000296	0.493 	0.321  
 155	10 min	00:10 20.11.09	00:20 20.11.09	0000000312	0.520 	0.339  
 156	10 min	00:20 20.11.09	00:30 20.11.09	0000000322	0.537 	0.350  
 157	10 min	00:30 20.11.09	00:40 20.11.09	0000000348	0.580 	0.378  
 158	10 min	00:40 20.11.09	00:50 20.11.09	0000000333	0.555 	0.362  
 159	10 min	00:50 20.11.09	01:00 20.11.09	0000000316	0.527 	0.343  
 160	10 min	01:00 20.11.09	01:10 20.11.09	0000000305	0.508 	0.331  
 161	10 min	01:10 20.11.09	01:20 20.11.09	0000000340	0.567 	0.369  
 162	10 min	01:20 20.11.09	01:30 20.11.09	0000000321	0.535 	0.349  
 163	10 min	01:30 20.11.09	01:40 20.11.09	0000000309	0.515 	0.336  
 164	10 min	01:40 20.11.09	01:50 20.11.09	0000000303	0.505 	0.329  
 165	10 min	01:50 20.11.09	02:00 20.11.09	0000000341	0.568 	0.370  
 166	10 min	02:00 20.11.09	02:10 20.11.09	0000000306	0.510 	0.332  
 167	10 min	02:10 20.11.09	02:20 20.11.09	0000000299	0.498 	0.325  
 168	10 min	02:20 20.11.09	02:30 20.11.09	0000000301	0.502 	0.327  
 169	10 min	02:30 20.11.09	02:40 20.11.09	0000000341	0.568 	0.370  
 170	10 min	02:40 20.11.09	02:50 20.11.09	0000000334	0.557 	0.363  
 171	10 min	02:50 20.11.09	03:00 20.11.09	0000000311	0.518 	0.338  
 172	10 min	03:00 20.11.09	03:10 20.11.09	0000000323	0.538 	0.351  
 173	10 min	03:10 20.11.09	03:20 20.11.09	0000000310	0.517 	0.337  
 174	10 min	03:20 20.11.09	03:30 20.11.09	0000000296	0.493 	0.321  
 175	10 min	03:30 20.11.09	03:40 20.11.09	0000000345	0.575 	0.375  
 176	10 min	03:40 20.11.09	03:50 20.11.09	0000000333	0.555 	0.362  
 177	10 min	03:50 20.11.09	04:00 20.11.09	0000000314	0.523 	0.341  
 178	10 min	04:00 20.11.09	04:10 20.11.09	0000000293	0.488 	0.318  
 179	10 min	04:10 20.11.09	04:20 20.11.09	0000000306	0.510 	0.332  
 180	10 min	04:20 20.11.09	04:30 20.11.09	0000000340	0.567 	0.369  
 181	10 min	04:30 20.11.09	04:40 20.11.09	0000000308	0.513 	0.334  
 182	10 min	04:40 20.11.09	04:50 20.11.09	0000000300	0.500 	0.326  
 183	10 min	04:50 20.11.09	05:00 20.11.09	0000000297	0.495 	0.322  
 184	10 min	05:00 20.11.09	05:10 20.11.09	0000000299	0.498 	0.325  
 185	10 min	05:10 20.11.09	05:20 20.11.09	0000000280	0.467 	0.304  
 186	10 min	05:20 20.11.09	05:30 20.11.09	0000000344	0.573 	0.374  
 187	10 min	05:30 20.11.09	05:40 20.11.09	0000000321	0.535 	0.349  
 188	10 min	05:40 20.11.09	05:50 20.11.09	0000000337	0.562 	0.366  
 189	10 min	05:50 20.11.09	06:00 20.11.09	0000000315	0.525 	0.342  
 190	10 min	06:00 20.11.09	06:10 20.11.09	0000000315	0.525 	0.342  
 191	10 min	06:10 20.11.09	06:20 20.11.09	0000000302	0.503 	0.328  
 192	10 min	06:20 20.11.09	06:30 20.11.09	0000000338	0.563 	0.367  
 193	10 min	06:30 20.11.09	06:40 20.11.09	0000000312	0.520 	0.339  
 194	10 min	06:40 20.11.09	06:50 20.11.09	0000000308	0.513 	0.334  
 195	10 min	06:50 20.11.09	07:00 20.11.09	0000000287	0.478 	0.312  
 196	10 min	07:00 20.11.09	07:10 20.11.09	0000000324	0.540 	0.352  
 197	10 min	07:10 20.11.09	07:20 20.11.09	0000000296	0.493 	0.321  
 198	10 min	07:20 20.11.09	07:30 20.11.09	0000000301	0.502 	0.327  
 199	10 min	07:30 20.11.09	07:40 20.11.09	0000000335	0.558 	0.364  
 200	10 min	07:40 20.11.09	07:50 20.11.09	0000000334	0.557 	0.363  
 201	10 min	07:50 20.11.09	08:00 20.11.09	0000000305	0.508 	0.331  
 202	10 min	08:00 20.11.09	08:10 20.11.09	0000000291	0.485 	0.316  
 203	10 min	08:10 20.11.09	08:20 20.11.09	0000000341	0.568 	0.370  
 204	10 min	08:20 20.11.09	08:30 20.11.09	0000000320	0.533 	0.347  
 205	10 min	08:30 20.11.09	08:40 20.11.09	0000000306	0.510 	0.332  
 206	10 min	08:40 20.11.09	08:50 20.11.09	0000000277	0.462 	0.301  
 207	10 min	08:50 20.11.09	09:00 20.11.09	0000000307	0.512 	0.333  
 208	10 min	09:00 20.11.09	09:10 20.11.09	0000000310	0.517 	0.337  
 209	10 min	09:10 20.11.09	09:20 20.11.09	0000000305	0.508 	0.331  
 210	10 min	09:20 20.11.09	09:30 20.11.09	0000000333	0.555 	0.362  
 211	10 min	09:30 20.11.09	09:40 20.11.09	0000000306	0.510 	0.332  
 212	10 min	09:40 20.11.09	09:50 20.11.09	0000000326	0.543 	0.354  
 213	10 min	09:50 20.11.09	10:00 20.11.09	0000000298	0.497 	0.324  
 214	10 min	10:00 20.11.09	10:10 20.11.09	0000000292	0.487 	0.317  
 215	10 min	10:10 20.11.09	10:20 20.11.09	0000000312	0.520 	0.339  
 216	10 min	10:20 20.11.09	10:30 20.11.09	0000000335	0.558 	0.364  
 217	10 min	10:30 20.11.09	10:40 20.11.09	0000000314	0.523 	0.341  
 218	10 min	10:40 20.11.09	10:50 20.11.09	0000000311	0.518 	0.338  
 219	10 min	10:50 20.11.09	11:00 20.11.09	0000000300	0.500 	0.326  
 220	10 min	11:00 20.11.09	11:10 20.11.09	0000000331	0.552 	0.359  
 221	10 min	11:10 20.11.09	11:20 20.11.09	0000000342	0.570 	0.371  
 222	10 min	11:20 20.11.09	11:30 20.11.09	0000000293	0.488 	0.318  
 223	10 min	11:30 20.11.09	11:40 20.11.09	0000000322	0.537 	0.350  
 224	10 min	11:40 20.11.09	11:50 20.11.09	0000000312	0.520 	0.339  
 225	10 min	11:50 20.11.09	12:00 20.11.09	0000000282	0.470 	0.306  
 226	10 min	12:00 20.11.09	12:10 20.11.09	0000000325	0.542 	0.353  
 227	10 min	12:10 20.11.09	12:20 20.11.09	0000000357	0.595 	0.388  
 228	10 min	12:20 20.11.09	12:30 20.11.09	0000000340	0.567 	0.369  
 229	10 min	12:30 20.11.09	12:40 20.11.09	0000000331	0.552 	0.359  
 230	10 min	12:40 20.11.09	12:50 20.11.09	0000000327	0.545 	0.355  
 231	10 min	12:50 20.11.09	13:00 20.11.09	0000000325	0.542 	0.353  
 232	10 min	13:00 20.11.09	13:10 20.11.09	0000000338	0.563 	0.367  
 233	10 min	13:10 20.11.09	13:20 20.11.09	0000000310	0.517 	0.337  
 234	10 min	13:20 20.11.09	13:30 20.11.09	0000000311	0.518 	0.338  
 235	10 min	13:30 20.11.09	13:40 20.11.09	0000000329	0.548 	0.357  
 236	10 min	13:40 20.11.09	13:50 20.11.09	0000000280	0.467 	0.304  
 237	10 min	13:50 20.11.09	14:00 20.11.09	0000000337	0.562 	0.366  
 238	10 min	14:00 20.11.09	14:10 20.11.09	0000000313	0.522 	0.340  
 239	10 min	14:10 20.11.09	14:20 20.11.09	0000000339	0.565 	0.368  
 240	10 min	14:20 20.11.09	14:30 20.11.09	0000000321	0.535 	0.349  
 241	10 min	14:30 20.11.09	14:40 20.11.09	0000000324	0.540 	0.352  
 242	10 min	14:40 20.11.09	14:50 20.11.09	0000000338	0.563 	0.367  
 243	10 min	14:50 20.11.09	15:00 20.11.09	0000000288	0.480 	0.313  
 244	10 min	15:00 20.11.09	15:10 20.11.09	0000000293	0.488 	0.318  
 245	10 min	15:10 20.11.09	15:20 20.11.09	0000000275	0.458 	0.299  
 246	10 min	15:20 20.11.09	15:30 20.11.09	0000000314	0.523 	0.341  
 247	10 min	15:30 20.11.09	15:40 20.11.09	0000000281	0.468 	0.305  
 248	10 min	15:40 20.11.09	15:50 20.11.09	0000000294	0.490 	0.319  
 249	10 min	15:50 20.11.09	16:00 20.11.09	0000000305	0.508 	0.331  
 250	10 min	16:00 20.11.09	16:10 20.11.09	0000000310	0.517 	0.337  
 251	10 min	16:10 20.11.09	16:20 20.11.09	0000000299	0.498 	0.325  
 252	10 min	16:20 20.11.09	16:30 20.11.09	0000000347	0.578 	0.377  
 253	10 min	16:30 20.11.09	16:40 20.11.09	0000000319	0.532 	0.346  
 254	10 min	16:40 20.11.09	16:50 20.11.09	0000000330	0.550 	0.358  
 255	10 min	16:50 20.11.09	17:00 20.11.09	0000000297	0.495 	0.322  
 256	10 min	17:00 20.11.09	17:10 20.11.09	0000000315	0.525 	0.342  
 257	10 min	17:10 20.11.09	17:20 20.11.09	0000000310	0.517 	0.337  
 258	10 min	17:20 20.11.09	17:30 20.11.09	0000000295	0.492 	0.320  
