

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_09_23-55-55.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 68	10 min	23:57 04.12.09	00:07 05.12.09	0000000298	0.497 	0.324  
 69	10 min	00:07 05.12.09	00:17 05.12.09	0000000317	0.528 	0.344  
 70	10 min	00:17 05.12.09	00:27 05.12.09	0000000290	0.483 	0.315  
 71	10 min	00:27 05.12.09	00:37 05.12.09	0000000334	0.557 	0.363  
 72	10 min	00:37 05.12.09	00:47 05.12.09	0000000306	0.510 	0.332  
 73	10 min	00:47 05.12.09	00:57 05.12.09	0000000331	0.552 	0.359  
 74	10 min	00:57 05.12.09	01:07 05.12.09	0000000301	0.502 	0.327  
 75	10 min	01:07 05.12.09	01:17 05.12.09	0000000305	0.508 	0.331  
 76	10 min	01:17 05.12.09	01:27 05.12.09	0000000298	0.497 	0.324  
 77	10 min	01:27 05.12.09	01:37 05.12.09	0000000307	0.512 	0.333  
 78	10 min	01:37 05.12.09	01:47 05.12.09	0000000324	0.540 	0.352  
 79	10 min	01:47 05.12.09	01:57 05.12.09	0000000319	0.532 	0.346  
 80	10 min	01:57 05.12.09	02:07 05.12.09	0000000324	0.540 	0.352  
 81	10 min	02:07 05.12.09	02:17 05.12.09	0000000319	0.532 	0.346  
 82	10 min	02:17 05.12.09	02:27 05.12.09	0000000287	0.478 	0.312  
 83	10 min	02:27 05.12.09	02:37 05.12.09	0000000308	0.513 	0.334  
 84	10 min	02:37 05.12.09	02:47 05.12.09	0000000329	0.548 	0.357  
 85	10 min	02:47 05.12.09	02:57 05.12.09	0000000323	0.538 	0.351  
 86	10 min	02:57 05.12.09	03:07 05.12.09	0000000302	0.503 	0.328  
 87	10 min	03:07 05.12.09	03:17 05.12.09	0000000307	0.512 	0.333  
 88	10 min	03:17 05.12.09	03:27 05.12.09	0000000287	0.478 	0.312  
 89	10 min	03:27 05.12.09	03:37 05.12.09	0000000326	0.543 	0.354  
 90	10 min	03:37 05.12.09	03:47 05.12.09	0000000292	0.487 	0.317  
 91	10 min	03:47 05.12.09	03:57 05.12.09	0000000316	0.527 	0.343  
 92	10 min	03:57 05.12.09	04:07 05.12.09	0000000293	0.488 	0.318  
 93	10 min	04:07 05.12.09	04:17 05.12.09	0000000299	0.498 	0.325  
 94	10 min	04:17 05.12.09	04:27 05.12.09	0000000313	0.522 	0.340  
 95	10 min	04:27 05.12.09	04:37 05.12.09	0000000292	0.487 	0.317  
 96	10 min	04:37 05.12.09	04:47 05.12.09	0000000306	0.510 	0.332  
 97	10 min	04:47 05.12.09	04:57 05.12.09	0000000327	0.545 	0.355  
 98	10 min	04:57 05.12.09	05:07 05.12.09	0000000287	0.478 	0.312  
