

-----------------------------------------------------------------------------
            Gamma-Scout    -- Calculation of Raw-Data --
                   with Gamma-Scout ToolBox-Application
            "Version 3.30  Rev. K5     November  2008"
                 This version with dynamic calibration factor                
-----------------------------------------------------------------------------
            "File : GAMMA_2010_07_20_22-11-37.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second).
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.

Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------
x1	Set/Tm.	20:27 15.07.10	20:27 15.07.10	0000000008	0.133 	0.001 x 	138.300
 62	10 min	06:27 16.07.10	06:37 16.07.10	0000000303	0.505 	0.219   	138.300
 63	10 min	06:37 16.07.10	06:47 16.07.10	0000000313	0.522 	0.226   	138.300
 64	10 min	06:47 16.07.10	06:57 16.07.10	0000000291	0.485 	0.210   	138.300
 65	10 min	06:57 16.07.10	07:07 16.07.10	0000000272	0.453 	0.197   	138.300
 66	10 min	07:07 16.07.10	07:17 16.07.10	0000000310	0.517 	0.224   	138.300
 67	10 min	07:17 16.07.10	07:27 16.07.10	0000000321	0.535 	0.232   	138.300
 68	10 min	07:27 16.07.10	07:37 16.07.10	0000000323	0.538 	0.234   	138.300
 69	10 min	07:37 16.07.10	07:47 16.07.10	0000000289	0.482 	0.209   	138.300
 70	10 min	07:47 16.07.10	07:57 16.07.10	0000000292	0.487 	0.211   	138.300
 71	10 min	07:57 16.07.10	08:07 16.07.10	0000000289	0.482 	0.209   	138.300
 72	10 min	08:07 16.07.10	08:17 16.07.10	0000000292	0.487 	0.211   	138.300
 73	10 min	08:17 16.07.10	08:27 16.07.10	0000000319	0.532 	0.231   	138.300
 74	10 min	08:27 16.07.10	08:37 16.07.10	0000000295	0.492 	0.213   	138.300
 75	10 min	08:37 16.07.10	08:47 16.07.10	0000000316	0.527 	0.228   	138.300
 76	10 min	08:47 16.07.10	08:57 16.07.10	0000000304	0.507 	0.220   	138.300
 77	10 min	08:57 16.07.10	09:07 16.07.10	0000000293	0.488 	0.212   	138.300
 78	10 min	09:07 16.07.10	09:17 16.07.10	0000000270	0.450 	0.195   	138.300
 79	10 min	09:17 16.07.10	09:27 16.07.10	0000000308	0.513 	0.223   	138.300
 80	10 min	09:27 16.07.10	09:37 16.07.10	0000000299	0.498 	0.216   	138.300
 81	10 min	09:37 16.07.10	09:47 16.07.10	0000000329	0.548 	0.238   	138.300
 82	10 min	09:47 16.07.10	09:57 16.07.10	0000000284	0.473 	0.205   	138.300
 83	10 min	09:57 16.07.10	10:07 16.07.10	0000000294	0.490 	0.213   	138.300
 84	10 min	10:07 16.07.10	10:17 16.07.10	0000000295	0.492 	0.213   	138.300
 85	10 min	10:17 16.07.10	10:27 16.07.10	0000000299	0.498 	0.216   	138.300
 86	10 min	10:27 16.07.10	10:37 16.07.10	0000000298	0.497 	0.215   	138.300
 87	10 min	10:37 16.07.10	10:47 16.07.10	0000000284	0.473 	0.205   	138.300
 88	10 min	10:47 16.07.10	10:57 16.07.10	0000000291	0.485 	0.210   	138.300
 89	10 min	10:57 16.07.10	11:07 16.07.10	0000000260	0.433 	0.188   	138.300
 90	10 min	11:07 16.07.10	11:17 16.07.10	0000000297	0.495 	0.215   	138.300
 91	10 min	11:17 16.07.10	11:27 16.07.10	0000000273	0.455 	0.197   	138.300
 92	10 min	11:27 16.07.10	11:37 16.07.10	0000000301	0.502 	0.218   	138.300
 93	10 min	11:37 16.07.10	11:47 16.07.10	0000000293	0.488 	0.212   	138.300
 94	10 min	11:47 16.07.10	11:57 16.07.10	0000000287	0.478 	0.208   	138.300
 95	10 min	11:57 16.07.10	12:07 16.07.10	0000000290	0.483 	0.210   	138.300
 96	10 min	12:07 16.07.10	12:17 16.07.10	0000000294	0.490 	0.213   	138.300
 97	10 min	12:17 16.07.10	12:27 16.07.10	0000000303	0.505 	0.219   	138.300
 98	10 min	12:27 16.07.10	12:37 16.07.10	0000000293	0.488 	0.212   	138.300
 99	10 min	12:37 16.07.10	12:47 16.07.10	0000000317	0.528 	0.229   	138.300
 100	10 min	12:47 16.07.10	12:57 16.07.10	0000000284	0.473 	0.205   	138.300
 101	10 min	12:57 16.07.10	13:07 16.07.10	0000000295	0.492 	0.213   	138.300
 102	10 min	13:07 16.07.10	13:17 16.07.10	0000000304	0.507 	0.220   	138.300
 103	10 min	13:17 16.07.10	13:27 16.07.10	0000000274	0.457 	0.198   	138.300
 104	10 min	13:27 16.07.10	13:37 16.07.10	0000000282	0.470 	0.204   	138.300
 105	10 min	13:37 16.07.10	13:47 16.07.10	0000000306	0.510 	0.221   	138.300
 106	10 min	13:47 16.07.10	13:57 16.07.10	0000000276	0.460 	0.200   	138.300
 107	10 min	13:57 16.07.10	14:07 16.07.10	0000000291	0.485 	0.210   	138.300
 108	10 min	14:07 16.07.10	14:17 16.07.10	0000000288	0.480 	0.208   	138.300
 109	10 min	14:17 16.07.10	14:27 16.07.10	0000000273	0.455 	0.197   	138.300
 110	10 min	14:27 16.07.10	14:37 16.07.10	0000000296	0.493 	0.214   	138.300
 111	10 min	14:37 16.07.10	14:47 16.07.10	0000000337	0.562 	0.244   	138.300
 112	10 min	14:47 16.07.10	14:57 16.07.10	0000000263	0.438 	0.190   	138.300
 113	10 min	14:57 16.07.10	15:07 16.07.10	0000000284	0.473 	0.205   	138.300
 114	10 min	15:07 16.07.10	15:17 16.07.10	0000000287	0.478 	0.208   	138.300
 115	10 min	15:17 16.07.10	15:27 16.07.10	0000000313	0.522 	0.226   	138.300
 116	10 min	15:27 16.07.10	15:37 16.07.10	0000000285	0.475 	0.206   	138.300
 117	10 min	15:37 16.07.10	15:47 16.07.10	0000000315	0.525 	0.228   	138.300
 118	10 min	15:47 16.07.10	15:57 16.07.10	0000000283	0.472 	0.205   	138.300
 119	10 min	15:57 16.07.10	16:07 16.07.10	0000000314	0.523 	0.227   	138.300
 120	10 min	16:07 16.07.10	16:17 16.07.10	0000000285	0.475 	0.206   	138.300
 121	10 min	16:17 16.07.10	16:27 16.07.10	0000000290	0.483 	0.210   	138.300
 122	10 min	16:27 16.07.10	16:37 16.07.10	0000000305	0.508 	0.221   	138.300
 123	10 min	16:37 16.07.10	16:47 16.07.10	0000000278	0.463 	0.201   	138.300
 124	10 min	16:47 16.07.10	16:57 16.07.10	0000000309	0.515 	0.223   	138.300
 125	10 min	16:57 16.07.10	17:07 16.07.10	0000000297	0.495 	0.215   	138.300
 126	10 min	17:07 16.07.10	17:17 16.07.10	0000000316	0.527 	0.228   	138.300
 127	10 min	17:17 16.07.10	17:27 16.07.10	0000000270	0.450 	0.195   	138.300
 128	10 min	17:27 16.07.10	17:37 16.07.10	0000000272	0.453 	0.197   	138.300
 129	10 min	17:37 16.07.10	17:47 16.07.10	0000000336	0.560 	0.243   	138.300
 130	10 min	17:47 16.07.10	17:57 16.07.10	0000000313	0.522 	0.226   	138.300
 131	10 min	17:57 16.07.10	18:07 16.07.10	0000000336	0.560 	0.243   	138.300
 132	10 min	18:07 16.07.10	18:17 16.07.10	0000000284	0.473 	0.205   	138.300
 133	10 min	18:17 16.07.10	18:27 16.07.10	0000000290	0.483 	0.210   	138.300
 134	10 min	18:27 16.07.10	18:37 16.07.10	0000000313	0.522 	0.226   	138.300
 135	10 min	18:37 16.07.10	18:47 16.07.10	0000000285	0.475 	0.206   	138.300
 136	10 min	18:47 16.07.10	18:57 16.07.10	0000000294	0.490 	0.213   	138.300
 137	10 min	18:57 16.07.10	19:07 16.07.10	0000000290	0.483 	0.210   	138.300
 138	10 min	19:07 16.07.10	19:17 16.07.10	0000000305	0.508 	0.221   	138.300
 139	10 min	19:17 16.07.10	19:27 16.07.10	0000000311	0.518 	0.225   	138.300
 140	10 min	19:27 16.07.10	19:37 16.07.10	0000000298	0.497 	0.215   	138.300
 141	10 min	19:37 16.07.10	19:47 16.07.10	0000000301	0.502 	0.218   	138.300
 142	10 min	19:47 16.07.10	19:57 16.07.10	0000000324	0.540 	0.234   	138.300
 143	10 min	19:57 16.07.10	20:07 16.07.10	0000000286	0.477 	0.207   	138.300
 144	10 min	20:07 16.07.10	20:17 16.07.10	0000000297	0.495 	0.215   	138.300
 145	10 min	20:17 16.07.10	20:27 16.07.10	0000000302	0.503 	0.218   	138.300
 146	10 min	20:27 16.07.10	20:37 16.07.10	0000000305	0.508 	0.221   	138.300
 147	10 min	20:37 16.07.10	20:47 16.07.10	0000000270	0.450 	0.195   	138.300
 148	10 min	20:47 16.07.10	20:57 16.07.10	0000000318	0.530 	0.230   	138.300
 149	10 min	20:57 16.07.10	21:07 16.07.10	0000000291	0.485 	0.210   	138.300
 150	10 min	21:07 16.07.10	21:17 16.07.10	0000000273	0.455 	0.197   	138.300
 151	10 min	21:17 16.07.10	21:27 16.07.10	0000000310	0.517 	0.224   	138.300
 152	10 min	21:27 16.07.10	21:37 16.07.10	0000000299	0.498 	0.216   	138.300
 153	10 min	21:37 16.07.10	21:47 16.07.10	0000000313	0.522 	0.226   	138.300
 154	10 min	21:47 16.07.10	21:57 16.07.10	0000000259	0.432 	0.187   	138.300
 155	10 min	21:57 16.07.10	22:07 16.07.10	0000000308	0.513 	0.223   	138.300
 156	10 min	22:07 16.07.10	22:17 16.07.10	0000000289	0.482 	0.209   	138.300
 157	10 min	22:17 16.07.10	22:27 16.07.10	0000000269	0.448 	0.195   	138.300
 158	10 min	22:27 16.07.10	22:37 16.07.10	0000000310	0.517 	0.224   	138.300
 159	10 min	22:37 16.07.10	22:47 16.07.10	0000000307	0.512 	0.222   	138.300
 160	10 min	22:47 16.07.10	22:57 16.07.10	0000000278	0.463 	0.201   	138.300
 161	10 min	22:57 16.07.10	23:07 16.07.10	0000000296	0.493 	0.214   	138.300
 162	10 min	23:07 16.07.10	23:17 16.07.10	0000000261	0.435 	0.189   	138.300
 163	10 min	23:17 16.07.10	23:27 16.07.10	0000000301	0.502 	0.218   	138.300
 164	10 min	23:27 16.07.10	23:37 16.07.10	0000000316	0.527 	0.228   	138.300
 165	10 min	23:37 16.07.10	23:47 16.07.10	0000000322	0.537 	0.233   	138.300
 166	10 min	23:47 16.07.10	23:57 16.07.10	0000000292	0.487 	0.211   	138.300
 167	10 min	23:57 16.07.10	00:07 17.07.10	0000000297	0.495 	0.215   	138.300
 168	10 min	00:07 17.07.10	00:17 17.07.10	0000000310	0.517 	0.224   	138.300
 169	10 min	00:17 17.07.10	00:27 17.07.10	0000000284	0.473 	0.205   	138.300
 170	10 min	00:27 17.07.10	00:37 17.07.10	0000000300	0.500 	0.217   	138.300
 171	10 min	00:37 17.07.10	00:47 17.07.10	0000000301	0.502 	0.218   	138.300
 172	10 min	00:47 17.07.10	00:57 17.07.10	0000000301	0.502 	0.218   	138.300
 173	10 min	00:57 17.07.10	01:07 17.07.10	0000000273	0.455 	0.197   	138.300
 174	10 min	01:07 17.07.10	01:17 17.07.10	0000000294	0.490 	0.213   	138.300
 175	10 min	01:17 17.07.10	01:27 17.07.10	0000000304	0.507 	0.220   	138.300
 176	10 min	01:27 17.07.10	01:37 17.07.10	0000000312	0.520 	0.226   	138.300
 177	10 min	01:37 17.07.10	01:47 17.07.10	0000000335	0.558 	0.242   	138.300
 178	10 min	01:47 17.07.10	01:57 17.07.10	0000000322	0.537 	0.233   	138.300
 179	10 min	01:57 17.07.10	02:07 17.07.10	0000000303	0.505 	0.219   	138.300
 180	10 min	02:07 17.07.10	02:17 17.07.10	0000000298	0.497 	0.215   	138.300
 181	10 min	02:17 17.07.10	02:27 17.07.10	0000000312	0.520 	0.226   	138.300
 182	10 min	02:27 17.07.10	02:37 17.07.10	0000000285	0.475 	0.206   	138.300
 183	10 min	02:37 17.07.10	02:47 17.07.10	0000000297	0.495 	0.215   	138.300
 184	10 min	02:47 17.07.10	02:57 17.07.10	0000000327	0.545 	0.236   	138.300
 185	10 min	02:57 17.07.10	03:07 17.07.10	0000000300	0.500 	0.217   	138.300
 186	10 min	03:07 17.07.10	03:17 17.07.10	0000000327	0.545 	0.236   	138.300
 187	10 min	03:17 17.07.10	03:27 17.07.10	0000000290	0.483 	0.210   	138.300
 188	10 min	03:27 17.07.10	03:37 17.07.10	0000000312	0.520 	0.226   	138.300
 189	10 min	03:37 17.07.10	03:47 17.07.10	0000000304	0.507 	0.220   	138.300
 190	10 min	03:47 17.07.10	03:57 17.07.10	0000000291	0.485 	0.210   	138.300
 191	10 min	03:57 17.07.10	04:07 17.07.10	0000000299	0.498 	0.216   	138.300
 192	10 min	04:07 17.07.10	04:17 17.07.10	0000000292	0.487 	0.211   	138.300
 193	10 min	04:17 17.07.10	04:27 17.07.10	0000000321	0.535 	0.232   	138.300
 194	10 min	04:27 17.07.10	04:37 17.07.10	0000000290	0.483 	0.210   	138.300
 195	10 min	04:37 17.07.10	04:47 17.07.10	0000000292	0.487 	0.211   	138.300
 196	10 min	04:47 17.07.10	04:57 17.07.10	0000000324	0.540 	0.234   	138.300
 197	10 min	04:57 17.07.10	05:07 17.07.10	0000000293	0.488 	0.212   	138.300
 198	10 min	05:07 17.07.10	05:17 17.07.10	0000000301	0.502 	0.218   	138.300
 199	10 min	05:17 17.07.10	05:27 17.07.10	0000000315	0.525 	0.228   	138.300
 200	10 min	05:27 17.07.10	05:37 17.07.10	0000000311	0.518 	0.225   	138.300
 201	10 min	05:37 17.07.10	05:47 17.07.10	0000000309	0.515 	0.223   	138.300
 202	10 min	05:47 17.07.10	05:57 17.07.10	0000000288	0.480 	0.208   	138.300
 203	10 min	05:57 17.07.10	06:07 17.07.10	0000000310	0.517 	0.224   	138.300
 204	10 min	06:07 17.07.10	06:17 17.07.10	0000000319	0.532 	0.231   	138.300
 205	10 min	06:17 17.07.10	06:27 17.07.10	0000000320	0.533 	0.231   	138.300
 206	10 min	06:27 17.07.10	06:37 17.07.10	0000000312	0.520 	0.226   	138.300
 207	10 min	06:37 17.07.10	06:47 17.07.10	0000000299	0.498 	0.216   	138.300
 208	10 min	06:47 17.07.10	06:57 17.07.10	0000000304	0.507 	0.220   	138.300
 209	10 min	06:57 17.07.10	07:07 17.07.10	0000000318	0.530 	0.230   	138.300
