!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:51:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8451187500,0.49418533,152.08693,0.869398,-118.46568,0.86810964,-118.43514,0.4920851,151.33028
8453750000,0.49520984,151.95885,0.86886108,-118.26242,0.87023908,-118.58319,0.4908416,151.52652
8456312500,0.49375084,151.88231,0.86883694,-118.30175,0.86866516,-118.62006,0.48975238,151.49515
8458875000,0.49239996,152.09962,0.86842138,-118.33998,0.8709085,-118.46903,0.49025747,151.39491
8461437500,0.49439165,151.93816,0.87185806,-118.48429,0.8741563,-118.78658,0.49080601,151.14639
8464000000,0.49204496,152.05615,0.87189484,-118.57187,0.87111747,-118.64468,0.48961005,151.02644
8466562500,0.49097753,151.82961,0.87042075,-118.37923,0.86986256,-118.77255,0.48844439,151.25676
8469125000,0.4919073,151.79996,0.87192923,-118.6426,0.87231094,-118.82993,0.48827475,151.05479
8471687500,0.49144065,151.71144,0.87018949,-118.58308,0.87339789,-119.00652,0.48728228,151.0849
8474250000,0.48799974,151.59724,0.87268102,-118.8912,0.86712968,-118.9643,0.48711079,150.78392
8476812500,0.48868051,151.54581,0.87335461,-118.81453,0.87080222,-118.93238,0.48753011,150.95303
8479375000,0.48891094,151.46878,0.87180251,-118.84088,0.87287062,-119.07771,0.48642439,150.9444
8481937500,0.48793247,151.45473,0.87062675,-118.92051,0.87235123,-119.19795,0.48472968,150.78844
8484500000,0.48740259,151.50369,0.87263107,-118.7903,0.87105185,-119.10255,0.48521173,150.94876
8487062500,0.48681584,151.52325,0.8740086,-119.06923,0.87176108,-119.11398,0.48504552,150.64099
8489625000,0.48683283,151.41959,0.87444353,-119.08174,0.87189084,-119.17764,0.48448178,150.69461
8492187500,0.48663276,151.34651,0.87406451,-119.10327,0.87277865,-119.34557,0.48296753,150.59401
8494750000,0.48553848,151.2283,0.87494224,-119.2821,0.87194252,-119.50555,0.48315898,150.41742
8497312500,0.48595956,151.17456,0.87613934,-119.34398,0.87522727,-119.41994,0.48400807,150.48708
8499875000,0.48483849,151.17865,0.87419945,-119.35056,0.87682498,-119.41851,0.4832074,150.51039
8502437500,0.48418176,151.11531,0.87537146,-119.44386,0.87547344,-119.45058,0.48326087,150.37494
8505000000,0.48309663,150.93477,0.87670147,-119.44938,0.87328964,-119.71576,0.48224056,150.35251
8507562500,0.48444423,151.00887,0.87714696,-119.51836,0.87549007,-119.65209,0.48110384,150.31694
8510125000,0.4831776,150.8679,0.87557632,-119.50388,0.87600666,-119.92083,0.48048609,150.22212
8512687500,0.48319057,151.03999,0.87651807,-119.56656,0.87615305,-119.73827,0.47980499,150.15668
8515250000,0.48191294,150.96638,0.87556279,-119.70199,0.87583286,-119.67036,0.47951216,150.12572
8517812500,0.48196122,150.98349,0.87585789,-119.7644,0.87668908,-119.65273,0.47894514,150.09175
8520375000,0.4812026,150.60555,0.87769628,-119.84568,0.87774509,-120.0237,0.47986555,150.09476
8522937500,0.48037776,150.66956,0.87577689,-119.82027,0.87830365,-120.0425,0.47864789,149.99817
8525500000,0.47922632,150.69516,0.87517315,-119.99552,0.87620121,-120.03454,0.47737199,149.84279
8528062500,0.48049498,150.69919,0.87667239,-120.01601,0.8762449,-119.95245,0.47584364,149.99243
8530625000,0.47814992,150.54726,0.87593836,-119.88411,0.8764587,-120.18005,0.4763276,149.94984
8533187500,0.47970954,150.39218,0.87745005,-120.07989,0.87775105,-120.3013,0.47498757,149.84224
8535750000,0.47904581,150.33002,0.87787324,-120.13394,0.87936699,-120.3855,0.47554725,149.79066
8538312500,0.47748214,150.25549,0.8786701,-120.22283,0.87883723,-120.35949,0.47674659,149.80469
8540875000,0.47582266,150.2316,0.87831652,-120.23572,0.87573904,-120.42255,0.47544193,149.75815
8543437500,0.47670487,150.41103,0.87697661,-120.17632,0.87928969,-120.31319,0.47437948,149.73103
8546000000,0.47696626,150.13815,0.88269544,-120.46648,0.87886119,-120.54674,0.47579935,149.61497
8548562500,0.47370657,150.07681,0.88056463,-120.2451,0.8782326,-120.51923,0.47586468,149.79854
8551125000,0.47452238,150.14784,0.88226461,-120.38577,0.87958902,-120.4865,0.47564098,149.70641
8553687500,0.47488531,149.96826,0.878676,-120.51945,0.88069707,-120.72636,0.47274712,149.51363
8556250000,0.47435185,149.90622,0.87944895,-120.48318,0.8796438,-120.74578,0.47138739,149.52103
8558812500,0.47201529,149.89961,0.87847608,-120.64446,0.87709981,-120.71984,0.47110796,149.4091
8561375000,0.47253641,149.78712,0.88117176,-120.60733,0.87964237,-120.80651,0.47143197,149.47508
8563937500,0.47184333,149.70206,0.88062012,-120.72212,0.88071138,-120.86353,0.47166151,149.36046
8566500000,0.47062278,149.61311,0.88084543,-120.88988,0.87827706,-120.94799,0.47038355,149.30592
8569062500,0.46996206,149.5547,0.88248229,-120.76839,0.88028115,-121.00806,0.47069922,149.25349
