

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_08_10-46-27.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
x1	Set/Tm.	10:22 08.07.10	10:23 08.07.10	0000000040	0.667 	0.007 x
 16	 1 min	10:37 08.07.10	10:38 08.07.10	0000000045	0.750 	0.489  
 17	 1 min	10:38 08.07.10	10:39 08.07.10	0000000042	0.700 	0.456  
 18	 1 min	10:39 08.07.10	10:40 08.07.10	0000000039	0.650 	0.423  
 19	 1 min	10:40 08.07.10	10:41 08.07.10	0000000037	0.617 	0.402  
 20	 1 min	10:41 08.07.10	10:42 08.07.10	0000000028	0.467 	0.304  
 21	 1 min	10:42 08.07.10	10:43 08.07.10	0000000024	0.400 	0.261  
 22	 1 min	10:43 08.07.10	10:44 08.07.10	0000000145	2.417 	1.574  
 23	 1 min	10:44 08.07.10	10:45 08.07.10	0000000037	0.617 	0.402  
 24	 1 min	10:45 08.07.10	10:46 08.07.10	0000000030	0.500 	0.326  
 25	 1 min	10:46 08.07.10	10:47 08.07.10	0000000028	0.467 	0.304  
 26	 1 min	10:47 08.07.10	10:48 08.07.10	0000000026	0.433 	0.282  
 27	 1 min	10:48 08.07.10	10:49 08.07.10	0000000031	0.517 	0.337  
 28	 1 min	10:49 08.07.10	10:50 08.07.10	0000000033	0.550 	0.358  
 29	 1 min	10:50 08.07.10	10:51 08.07.10	0000000042	0.700 	0.456  
 30	 1 min	10:51 08.07.10	10:52 08.07.10	0000000026	0.433 	0.282  
 31	 1 min	10:52 08.07.10	10:53 08.07.10	0000000021	0.350 	0.228  
 32	 1 min	10:53 08.07.10	10:54 08.07.10	0000000024	0.400 	0.261  
 33	 1 min	10:54 08.07.10	10:55 08.07.10	0000000017	0.283 	0.185  
 34	 1 min	10:55 08.07.10	10:56 08.07.10	0000000012	0.200 	0.130  
 35	 1 min	10:56 08.07.10	10:57 08.07.10	0000000016	0.267 	0.174  
 36	 1 min	10:57 08.07.10	10:58 08.07.10	0000000026	0.433 	0.282  
 37	 1 min	10:58 08.07.10	10:59 08.07.10	0000000015	0.250 	0.163  
 38	 1 min	10:59 08.07.10	11:00 08.07.10	0000000010	0.167 	0.109  
 39	 1 min	11:00 08.07.10	11:01 08.07.10	0000000011	0.183 	0.119  
 40	 1 min	11:01 08.07.10	11:02 08.07.10	0000000016	0.267 	0.174  
 41	 1 min	11:02 08.07.10	11:03 08.07.10	0000000017	0.283 	0.185  
 42	 1 min	11:03 08.07.10	11:04 08.07.10	0000000017	0.283 	0.185  
 43	 1 min	11:04 08.07.10	11:05 08.07.10	0000000012	0.200 	0.130  
 44	 1 min	11:05 08.07.10	11:06 08.07.10	0000000019	0.317 	0.206  
 45	 1 min	11:06 08.07.10	11:07 08.07.10	0000000012	0.200 	0.130  
 46	 1 min	11:07 08.07.10	11:08 08.07.10	0000000026	0.433 	0.282  
 47	 1 min	11:08 08.07.10	11:09 08.07.10	0000000015	0.250 	0.163  
 48	 1 min	11:09 08.07.10	11:10 08.07.10	0000000011	0.183 	0.119  
 49	 1 min	11:10 08.07.10	11:11 08.07.10	0000000014	0.233 	0.152  
 50	 1 min	11:11 08.07.10	11:12 08.07.10	0000000022	0.367 	0.239  
 51	 1 min	11:12 08.07.10	11:13 08.07.10	0000000024	0.400 	0.261  
 52	 1 min	11:13 08.07.10	11:14 08.07.10	0000000021	0.350 	0.228  
 53	 1 min	11:14 08.07.10	11:15 08.07.10	0000000032	0.533 	0.347  
 54	 1 min	11:15 08.07.10	11:16 08.07.10	0000000039	0.650 	0.423  
 55	 1 min	11:16 08.07.10	11:17 08.07.10	0000000036	0.600 	0.391  
 56	 1 min	11:17 08.07.10	11:18 08.07.10	0000000024	0.400 	0.261  
 57	 1 min	11:18 08.07.10	11:19 08.07.10	0000000034	0.567 	0.369  
 58	 1 min	11:19 08.07.10	11:20 08.07.10	0000000034	0.567 	0.369  
 59	 1 min	11:20 08.07.10	11:21 08.07.10	0000000032	0.533 	0.347  
 60	 1 min	11:21 08.07.10	11:22 08.07.10	0000000039	0.650 	0.423  
 61	 1 min	11:22 08.07.10	11:23 08.07.10	0000000033	0.550 	0.358  
 62	 1 min	11:23 08.07.10	11:24 08.07.10	0000000044	0.733 	0.478  
 63	 1 min	11:24 08.07.10	11:25 08.07.10	0000000037	0.617 	0.402  
 64	 1 min	11:25 08.07.10	11:26 08.07.10	0000000045	0.750 	0.489  
 65	 1 min	11:26 08.07.10	11:27 08.07.10	0000000043	0.717 	0.467  
 66	 1 min	11:27 08.07.10	11:28 08.07.10	0000000034	0.567 	0.369  
 67	 1 min	11:28 08.07.10	11:29 08.07.10	0000000038	0.633 	0.413  
 68	 1 min	11:29 08.07.10	11:30 08.07.10	0000000045	0.750 	0.489  
 69	 1 min	11:30 08.07.10	11:31 08.07.10	0000000036	0.600 	0.391  
 70	 1 min	11:31 08.07.10	11:32 08.07.10	0000000031	0.517 	0.337  
 71	 1 min	11:32 08.07.10	11:33 08.07.10	0000000025	0.417 	0.271  
 72	 1 min	11:33 08.07.10	11:34 08.07.10	0000000020	0.333 	0.217  
 73	 1 min	11:34 08.07.10	11:35 08.07.10	0000000024	0.400 	0.261  
 74	 1 min	11:35 08.07.10	11:36 08.07.10	0000000024	0.400 	0.261  
 75	 1 min	11:36 08.07.10	11:37 08.07.10	0000000025	0.417 	0.271  
 76	 1 min	11:37 08.07.10	11:38 08.07.10	0000000034	0.567 	0.369  
 77	 1 min	11:38 08.07.10	11:39 08.07.10	0000000018	0.300 	0.195  
 78	 1 min	11:39 08.07.10	11:40 08.07.10	0000000028	0.467 	0.304  
 79	 1 min	11:40 08.07.10	11:41 08.07.10	0000000013	0.217 	0.141  
 80	 1 min	11:41 08.07.10	11:42 08.07.10	0000000023	0.383 	0.250  
 81	 1 min	11:42 08.07.10	11:43 08.07.10	0000000019	0.317 	0.206  
 82	 1 min	11:43 08.07.10	11:44 08.07.10	0000000025	0.417 	0.271  
 83	 1 min	11:44 08.07.10	11:45 08.07.10	0000000026	0.433 	0.282  
 84	 1 min	11:45 08.07.10	11:46 08.07.10	0000000030	0.500 	0.326  
 85	 1 min	11:46 08.07.10	11:47 08.07.10	0000000032	0.533 	0.347  
 86	 1 min	11:47 08.07.10	11:48 08.07.10	0000000037	0.617 	0.402  
 87	 1 min	11:48 08.07.10	11:49 08.07.10	0000000040	0.667 	0.434  
 88	 1 min	11:49 08.07.10	11:50 08.07.10	0000000032	0.533 	0.347  
 89	 1 min	11:50 08.07.10	11:51 08.07.10	0000000045	0.750 	0.489  
 90	 1 min	11:51 08.07.10	11:52 08.07.10	0000000030	0.500 	0.326  
 91	 1 min	11:52 08.07.10	11:53 08.07.10	0000000027	0.450 	0.293  
 92	 1 min	11:53 08.07.10	11:54 08.07.10	0000000034	0.567 	0.369  
 93	 1 min	11:54 08.07.10	11:55 08.07.10	0000000027	0.450 	0.293  
 94	 1 min	11:55 08.07.10	11:56 08.07.10	0000000030	0.500 	0.326  
 95	 1 min	11:56 08.07.10	11:57 08.07.10	0000000025	0.417 	0.271  
 96	 1 min	11:57 08.07.10	11:58 08.07.10	0000000040	0.667 	0.434  
 97	 1 min	11:58 08.07.10	11:59 08.07.10	0000000036	0.600 	0.391  
-----------------------------------------------------------------------------
