

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_09_09-14-27.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 66	 1 min	00:25 09.07.10	00:26 09.07.10	0000000032	0.533 	0.347  
 67	 1 min	00:26 09.07.10	00:27 09.07.10	0000000031	0.517 	0.337  
 68	 1 min	00:27 09.07.10	00:28 09.07.10	0000000041	0.683 	0.445  
 69	 1 min	00:28 09.07.10	00:29 09.07.10	0000000032	0.533 	0.347  
 70	 1 min	00:29 09.07.10	00:30 09.07.10	0000000032	0.533 	0.347  
 71	 1 min	00:30 09.07.10	00:31 09.07.10	0000000031	0.517 	0.337  
 72	 1 min	00:31 09.07.10	00:32 09.07.10	0000000034	0.567 	0.369  
 73	 1 min	00:32 09.07.10	00:33 09.07.10	0000000034	0.567 	0.369  
 74	 1 min	00:33 09.07.10	00:34 09.07.10	0000000034	0.567 	0.369  
 75	 1 min	00:34 09.07.10	00:35 09.07.10	0000000042	0.700 	0.456  
 76	 1 min	00:35 09.07.10	00:36 09.07.10	0000000034	0.567 	0.369  
 77	 1 min	00:36 09.07.10	00:37 09.07.10	0000000018	0.300 	0.195  
 78	 1 min	00:37 09.07.10	00:38 09.07.10	0000000027	0.450 	0.293  
 79	 1 min	00:38 09.07.10	00:39 09.07.10	0000000043	0.717 	0.467  
 80	 1 min	00:39 09.07.10	00:40 09.07.10	0000000033	0.550 	0.358  
 81	 1 min	00:40 09.07.10	00:41 09.07.10	0000000026	0.433 	0.282  
 82	 1 min	00:41 09.07.10	00:42 09.07.10	0000000026	0.433 	0.282  
 83	 1 min	00:42 09.07.10	00:43 09.07.10	0000000026	0.433 	0.282  
 84	 1 min	00:43 09.07.10	00:44 09.07.10	0000000027	0.450 	0.293  
 85	 1 min	00:44 09.07.10	00:45 09.07.10	0000000027	0.450 	0.293  
 86	 1 min	00:45 09.07.10	00:46 09.07.10	0000000025	0.417 	0.271  
 87	 1 min	00:46 09.07.10	00:47 09.07.10	0000000025	0.417 	0.271  
 88	 1 min	00:47 09.07.10	00:48 09.07.10	0000000019	0.317 	0.206  
 89	 1 min	00:48 09.07.10	00:49 09.07.10	0000000033	0.550 	0.358  
 90	 1 min	00:49 09.07.10	00:50 09.07.10	0000000035	0.583 	0.380  
 91	 1 min	00:50 09.07.10	00:51 09.07.10	0000000032	0.533 	0.347  
 92	 1 min	00:51 09.07.10	00:52 09.07.10	0000000021	0.350 	0.228  
