Freq(Hz)	RL(%)
8202625000.0	85.3735622399
8205250000.0	85.5361729001
8207875000.0	86.3095062052
8210500000.0	86.2623235767
8213125000.0	85.7295360419
8215750000.0	85.7904848076
8218375000.0	87.2642846172
8221000000.0	85.9211931567
8223625000.0	85.8924260996
8226250000.0	86.4804024211
8228875000.0	85.8735094454
8231500000.0	85.9781801517
8234125000.0	85.2486474604
8236750000.0	85.7815009818
8239375000.0	84.9099001573
8242000000.0	83.7711395418
8244625000.0	86.8143957466
8247250000.0	87.1887230886
8249875000.0	86.203172758
8252500000.0	86.6903243005
8255125000.0	85.7700910157
8257750000.0	85.8680145878
8260375000.0	86.9993904624
8263000000.0	87.2952351258
8265625000.0	87.86826379
8268250000.0	86.2208387139
8270875000.0	86.5022639097
8273500000.0	86.6714450404
8276125000.0	86.9089199635
8278750000.0	86.1711048141
8281375000.0	87.5881828032
8284000000.0	86.0202247961
8286625000.0	88.0279078226
8289250000.0	86.030694116
8291875000.0	87.0990545923
8294500000.0	85.5056007245
8297125000.0	86.5775273835
8299750000.0	88.8026124757
8302375000.0	87.0660199129
8305000000.0	86.5425181485
8307625000.0	87.5007991957
8310250000.0	88.2698008086
8312875000.0	89.3692973281
8315500000.0	88.5860017062
8318125000.0	87.0536230558
8320750000.0	86.1025306162
8323375000.0	86.9350219667
8326000000.0	86.0470800666
8328625000.0	89.1854741778
8331250000.0	89.0849306283
8333875000.0	87.9968074049
8336500000.0	86.6167734813
8339125000.0	85.5158109585
8341750000.0	86.2350793139
8344375000.0	86.7735687573
8347000000.0	86.2998994792
8349625000.0	87.8271484167
8352250000.0	85.5116499716
8354875000.0	87.4197642478
8357500000.0	85.0890899105
8360125000.0	87.3497456213
8362750000.0	86.5579666451
8365375000.0	87.4379285837
8368000000.0	85.2804089693
8370625000.0	87.9374024034
8373250000.0	88.0483018499
8375875000.0	86.2884629558
8378500000.0	88.0630346319
8381125000.0	84.4329870934
8383750000.0	87.8082035782
8386375000.0	86.9182165816
8389000000.0	87.4612598813
8391625000.0	85.4876010187
8394250000.0	87.369994603
8396875000.0	85.6993058726
8399500000.0	87.8686992093
8402125000.0	87.7849596734
8404750000.0	86.7204396294
8407375000.0	88.5098820589
8410000000.0	86.7255180065
8412625000.0	88.9056380864
8415250000.0	87.8443941791
8417875000.0	88.5294825969
8420500000.0	88.3626310711
8423125000.0	88.9099890982
8425750000.0	88.5718878699
8428375000.0	91.006592901
8431000000.0	86.852721089
8433625000.0	89.6796302259
8436250000.0	90.9231033864
8438875000.0	88.5568801833
8441500000.0	88.5133232755
8444125000.0	88.3703264034
8446750000.0	87.0024394216
8449375000.0	89.0499718789
8452000000.0	88.424168731
8454625000.0	90.2024521123
8457250000.0	87.9750700311
8459875000.0	88.9146599778
8462500000.0	90.3752401507
8465125000.0	88.4424218648
8467750000.0	90.5515791536
8470375000.0	87.0705215966
8473000000.0	88.4963791431
8475625000.0	88.2417499385
8478250000.0	87.4482554858
8480875000.0	88.0487164982
8483500000.0	88.1403035911
8486125000.0	87.4962633408
8488750000.0	87.3906016253
8491375000.0	85.6460596498
8494000000.0	88.7078022261
8496625000.0	86.2886502064
8499250000.0	86.7573874441
8501875000.0	85.5745386176
8504500000.0	88.3891751004
8507125000.0	86.9730589826
8509750000.0	87.8463773564
8512375000.0	86.1678337333
8515000000.0	87.996128466
8517625000.0	85.3806950857
8520250000.0	86.0784718315
8522875000.0	88.0036913634
8525500000.0	83.6618276793
8528125000.0	86.604177394
8530750000.0	87.2148321676
8533375000.0	87.8895162087
8536000000.0	86.4781049196
8538625000.0	88.2565677079
8541250000.0	88.5351919533
8543875000.0	85.5798487872
8546500000.0	85.51436813
8549125000.0	86.7034515823
8551750000.0	86.4420206505
8554375000.0	87.513160207
8557000000.0	86.4125367998
8559625000.0	85.5041883526
8562250000.0	88.2764191461
8564875000.0	86.3369036675
8567500000.0	88.9848310639
8570125000.0	88.8071798991
8572750000.0	87.0084075893
8575375000.0	84.0222445931
8578000000.0	87.7207770292
8580625000.0	89.322688892
8583250000.0	85.9251553361
8585875000.0	86.9396459415
8588500000.0	86.9888343644
8591125000.0	87.1743841009
8593750000.0	86.5886101521
8596375000.0	88.8040119031
8599000000.0	84.9296160686
8601625000.0	87.4567141121
8604250000.0	85.1487253518
8606875000.0	88.4031746309
8609500000.0	86.3010490244
8612125000.0	84.2222626703
8614750000.0	86.1763100555
8617375000.0	87.5520530814
8620000000.0	86.0048891837
8622625000.0	84.2871482168
8625250000.0	86.3154578588
8627875000.0	85.1150414801
8630500000.0	85.6934059334
8633125000.0	84.7789297679
8635750000.0	88.254078368
8638375000.0	88.0062079528
8641000000.0	85.7392241556
8643625000.0	83.2812312828
8646250000.0	87.334499064
8648875000.0	83.6974980227
8651500000.0	83.3125488371
8654125000.0	86.866306242
8656750000.0	85.4115745272
8659375000.0	85.4475606269
8662000000.0	85.7501471172
8664625000.0	86.1715664933
8667250000.0	85.844531687
8669875000.0	85.3150643283
8672500000.0	84.8212547159
8675125000.0	86.2236009325
8677750000.0	86.3018347989
8680375000.0	86.7720859809
8683000000.0	84.1154923833
8685625000.0	84.9466347889
8688250000.0	85.8978862923
8690875000.0	86.76030816
8693500000.0	86.0422404607
8696125000.0	85.6394127338
8698750000.0	85.9700676115
8701375000.0	84.9027555635
8704000000.0	86.4226724166
8706625000.0	84.9816057601
8709250000.0	85.8233216951
8711875000.0	86.960325478
8714500000.0	87.3768107714
8717125000.0	86.7874384861
8719750000.0	83.578368687
8722375000.0	85.1694957051
8725000000.0	84.9825033333
8727625000.0	84.6672062596
8730250000.0	85.2019942553
8732875000.0	84.2901005288
8735500000.0	83.1338300191
8738125000.0	83.6746800385
8740750000.0	83.6552829939
8743375000.0	83.6700061649
8746000000.0	83.7153679885
8748625000.0	83.9715726655
8751250000.0	83.2916404639
8753875000.0	85.1521314956
8756500000.0	82.0127138664
8759125000.0	83.5256755352
8761750000.0	83.1685948196
8764375000.0	82.1331635253
8767000000.0	82.1400318472
8769625000.0	85.0467614395
8772250000.0	83.5259171369
8774875000.0	82.6076370701
8777500000.0	84.0573828477
8780125000.0	83.7034370216
8782750000.0	83.7018687373
8785375000.0	84.6492739512
8788000000.0	81.9997648205
8790625000.0	83.7862019686
8793250000.0	82.7053560217
