 -83.00 -37.00  61.81
 -83.00 -36.00  63.65
 -83.00 -35.00  65.74
 -83.00 -34.00  68.27
 -83.00 -33.00  71.37
 -83.00 -32.00  75.12
 -83.00 -31.00  79.49
 -83.00 -30.00  84.34
 -83.00 -29.00  89.43
 -83.00 -28.00  94.42
 -83.00 -27.00  98.97
 -83.00 -26.00 102.78
 -83.00 -25.00 105.62
 -83.00 -24.00 107.39
 -83.00 -23.00 108.09
 -83.00 -22.00 107.88
 -83.00 -21.00 106.96
 -83.00 -20.00 105.59
 -83.00 -19.00 104.01
 -83.00 -18.00 102.44
 -83.00 -17.00 101.00
 -83.00 -16.00  99.80
 -83.00 -15.00  98.86
 -83.00 -14.00  98.20
 -83.00 -13.00  97.84
 -83.00 -12.00  97.83
 -83.00 -11.00  98.25
 -83.00 -10.00  99.19
 -83.00  -9.00 100.72
 -83.00  -8.00 102.88
 -83.00  -7.00 105.65
 -83.00  -6.00 108.89
 -83.00  -5.00 112.39
 -83.00  -4.00 115.83
 -83.00  -3.00 118.86
 -83.00  -2.00 121.16
 -83.00  -1.00 122.42
 -83.00   0.00 122.46
 -83.00   1.00 121.24
 -83.00   2.00 118.83
 -83.00   3.00 115.46
 -83.00   4.00 111.42
 -83.00   5.00 107.07
 -83.00   6.00 102.74
 -83.00   7.00  98.72
 -83.00   8.00  95.20
 -83.00   9.00  92.26
 -83.00  10.00  89.89
 -83.00  11.00  88.01
 -83.00  12.00  86.46
 -83.00  13.00  85.11
 -83.00  14.00  83.85
 -83.00  15.00  82.60
 -83.00  16.00  81.37
 -83.00  17.00  80.20
 -83.00  18.00  79.19
 -83.00  19.00  78.43
 -83.00  20.00  78.02
 -83.00  21.00  78.01
 -83.00  22.00  78.41
 -83.00  23.00  79.16
 -83.00  24.00  80.18
 -83.00  25.00  81.38
 -83.00  26.00  82.65
 -83.00  27.00  83.95
 -82.00 -37.00  61.68
 -82.00 -36.00  63.53
 -82.00 -35.00  65.69
 -82.00 -34.00  68.31
 -82.00 -33.00  71.53
 -82.00 -32.00  75.42
 -82.00 -31.00  79.93
 -82.00 -30.00  84.90
 -82.00 -29.00  90.07
 -82.00 -28.00  95.10
 -82.00 -27.00  99.64
 -82.00 -26.00 103.40
 -82.00 -25.00 106.15
 -82.00 -24.00 107.80
 -82.00 -23.00 108.38
 -82.00 -22.00 108.06
 -82.00 -21.00 107.04
 -82.00 -20.00 105.60
 -82.00 -19.00 103.98
 -82.00 -18.00 102.39
 -82.00 -17.00 100.96
 -82.00 -16.00  99.77
 -82.00 -15.00  98.85
 -82.00 -14.00  98.22
 -82.00 -13.00  97.89
 -82.00 -12.00  97.91
 -82.00 -11.00  98.36
 -82.00 -10.00  99.32
 -82.00  -9.00 100.87
 -82.00  -8.00 103.06
 -82.00  -7.00 105.83
 -82.00  -6.00 109.07
 -82.00  -5.00 112.53
 -82.00  -4.00 115.92
 -82.00  -3.00 118.89
 -82.00  -2.00 121.10
 -82.00  -1.00 122.26
 -82.00   0.00 122.20
 -82.00   1.00 120.87
 -82.00   2.00 118.36
 -82.00   3.00 114.90
 -82.00   4.00 110.80
 -82.00   5.00 106.40
 -82.00   6.00 102.05
 -82.00   7.00  98.02
 -82.00   8.00  94.50
 -82.00   9.00  91.57
 -82.00  10.00  89.22
 -82.00  11.00  87.36
 -82.00  12.00  85.84
 -82.00  13.00  84.53
 -82.00  14.00  83.31
 -82.00  15.00  82.11
 -82.00  16.00  80.94
 -82.00  17.00  79.84
 -82.00  18.00  78.89
 -82.00  19.00  78.21
 -82.00  20.00  77.86
 -82.00  21.00  77.90
 -82.00  22.00  78.31
 -82.00  23.00  79.06
 -82.00  24.00  80.06
 -82.00  25.00  81.21
 -82.00  26.00  82.43
 -82.00  27.00  83.68
 -81.00 -37.00  61.50
 -81.00 -36.00  63.37
 -81.00 -35.00  65.58
 -81.00 -34.00  68.28
 -81.00 -33.00  71.61
 -81.00 -32.00  75.62
 -81.00 -31.00  80.25
 -81.00 -30.00  85.32
 -81.00 -29.00  90.57
 -81.00 -28.00  95.64
 -81.00 -27.00 100.19
 -81.00 -26.00 103.92
 -81.00 -25.00 106.60
 -81.00 -24.00 108.17
 -81.00 -23.00 108.66
 -81.00 -22.00 108.24
 -81.00 -21.00 107.15
 -81.00 -20.00 105.65
 -81.00 -19.00 104.00
 -81.00 -18.00 102.39
 -81.00 -17.00 100.95
 -81.00 -16.00  99.77
 -81.00 -15.00  98.87
 -81.00 -14.00  98.25
 -81.00 -13.00  97.94
 -81.00 -12.00  97.98
 -81.00 -11.00  98.44
 -81.00 -10.00  99.40
 -81.00  -9.00 100.96
 -81.00  -8.00 103.14
 -81.00  -7.00 105.90
 -81.00  -6.00 109.12
 -81.00  -5.00 112.55
 -81.00  -4.00 115.90
 -81.00  -3.00 118.82
 -81.00  -2.00 120.97
 -81.00  -1.00 122.06
 -81.00   0.00 121.93
 -81.00   1.00 120.53
 -81.00   2.00 117.96
 -81.00   3.00 114.44
 -81.00   4.00 110.28
 -81.00   5.00 105.84
 -81.00   6.00 101.45
 -81.00   7.00  97.39
 -81.00   8.00  93.85
 -81.00   9.00  90.92
 -81.00  10.00  88.57
